id,date,result,case_id
544,2/26/2016,FAILED,
545,2/26/2016,PASSED,
546,2/26/2016,FAILED,
547,2/25/2016,PASSED,
548,2/25/2016,PASSED,
549,2/25/2016,PASSED,
550,2/25/2016,PASSED,
551,2/25/2016,PASSED,
552,2/25/2016,PASSED,
553,2/25/2016,,
554,2/25/2016,FAILED,
555,2/25/2016,FAILED,
556,2/25/2016,PASSED,
557,2/24/2016,PASSED,
558,2/24/2016,PASSED,
559,2/24/2016,PASSED,
560,2/24/2016,FAILED,
561,2/24/2016,FAILED,
562,2/24/2016,PASSED,
563,2/24/2016,FAILED,
564,2/23/2016,PASSED,
565,2/23/2016,PASSED,
566,2/23/2016,PASSED,
567,2/22/2016,FAILED,
568,2/22/2016,FAILED,
569,2/22/2016,PASSED,
570,2/22/2016,FAILED,
571,2/22/2016,FAILED,
572,2/22/2016,FAILED,
573,2/22/2016,FAILED,
574,2/22/2016,FAILED,
575,2/22/2016,FAILED,
576,2/22/2016,PASSED,
577,2/22/2016,FAILED,
578,2/19/2016,,
579,11/6/2015,,
580,2/19/2016,FAILED,
581,2/19/2016,PASSED,
582,2/19/2016,FAILED,
583,2/19/2016,PASSED,
584,2/19/2016,PASSED,
585,2/19/2016,FAILED,
586,2/19/2016,FAILED,
587,2/19/2016,FAILED,
588,2/19/2016,FAILED,
589,2/19/2016,,
590,2/19/2016,FAILED,
591,2/19/2016,FAILED,
592,2/19/2016,PASSED,
593,2/19/2016,FAILED,
594,2/19/2016,PASSED,
595,2/18/2016,FAILED,
596,2/18/2016,FAILED,
597,2/18/2016,,
598,2/18/2016,FAILED,
599,2/18/2016,PASSED,
600,2/18/2016,FAILED,
601,2/18/2016,FAILED,
602,2/18/2016,PASSED,
603,2/18/2016,FAILED,
604,2/18/2016,PASSED,
605,2/18/2016,PASSED,
606,2/18/2016,FAILED,
607,2/18/2016,FAILED,
608,2/18/2016,PASSED,
609,2/18/2016,FAILED,
610,2/17/2016,FAILED,
611,2/17/2016,,
612,2/17/2016,PASSED,
613,2/17/2016,PASSED,
614,2/17/2016,FAILED,
615,2/17/2016,PASSED,
616,2/17/2016,,
617,2/17/2016,FAILED,
618,2/17/2016,PASSED,
619,2/17/2016,PASSED,
620,2/17/2016,FAILED,
621,2/17/2016,FAILED,
622,2/16/2016,PASSED,
623,2/16/2016,PASSED,
624,2/16/2016,FAILED,
625,2/16/2016,FAILED,
626,2/16/2016,PASSED,
627,2/16/2016,PASSED,
628,2/16/2016,FAILED,
629,2/16/2016,PASSED,
630,2/16/2016,,
631,2/16/2016,FAILED,
632,2/12/2016,FAILED,
633,2/12/2016,FAILED,
634,2/12/2016,FAILED,
635,2/11/2016,FAILED,
636,2/12/2016,PASSED,
637,2/12/2016,PASSED,
638,2/12/2016,,
639,2/12/2016,FAILED,
640,2/12/2016,PASSED,
641,2/12/2016,,
642,2/12/2016,,
643,2/12/2016,FAILED,
644,2/12/2016,PASSED,
645,2/12/2016,FAILED,
646,2/12/2016,FAILED,
647,2/12/2016,,
648,2/12/2016,FAILED,
649,2/12/2016,FAILED,
650,2/11/2016,FAILED,
651,2/11/2016,PASSED,
652,2/11/2016,PASSED,
653,2/11/2016,FAILED,
654,2/11/2016,FAILED,
655,2/11/2016,FAILED,
656,2/11/2016,PASSED,
657,2/11/2016,PASSED,
658,2/11/2016,FAILED,
659,2/11/2016,PASSED,
660,2/10/2016,PASSED,
661,2/10/2016,PASSED,
662,2/10/2016,PASSED,
663,2/10/2016,PASSED,
664,2/10/2016,PASSED,
665,2/10/2016,PASSED,
666,2/10/2016,PASSED,
667,2/10/2016,FAILED,
668,2/10/2016,FAILED,
669,2/10/2016,FAILED,
670,2/10/2016,PASSED,
671,2/10/2016,PASSED,
672,2/10/2016,PASSED,
673,2/10/2016,PASSED,
674,2/10/2016,FAILED,
675,2/10/2016,PASSED,
676,2/9/2016,PASSED,
677,2/9/2016,PASSED,
678,2/9/2016,PASSED,
679,2/9/2016,PASSED,
680,2/9/2016,FAILED,
681,2/9/2016,PASSED,
682,2/9/2016,FAILED,
683,2/9/2016,PASSED,
684,2/9/2016,PASSED,
685,2/9/2016,PASSED,
686,2/9/2016,PASSED,
687,2/9/2016,PASSED,
688,2/9/2016,FAILED,
689,2/9/2016,PASSED,
690,2/9/2016,PASSED,
691,2/8/2016,PASSED,
692,2/8/2016,FAILED,
693,2/8/2016,PASSED,
694,2/8/2016,FAILED,
695,2/8/2016,PASSED,
696,2/8/2016,FAILED,
697,2/8/2016,FAILED,
698,2/8/2016,PASSED,
699,2/6/2016,,
700,2/5/2016,,
701,2/5/2016,,
702,2/5/2016,,
703,2/5/2016,PASSED,
704,2/5/2016,FAILED,
705,2/5/2016,PASSED,
706,2/5/2016,FAILED,
707,2/5/2016,FAILED,
708,2/5/2016,,
709,2/4/2016,PASSED,
710,2/4/2016,FAILED,
711,2/4/2016,,
712,2/4/2016,,
713,2/4/2016,,
714,2/4/2016,FAILED,
715,2/4/2016,PASSED,
716,2/4/2016,PASSED,
717,2/4/2016,PASSED,
718,2/4/2016,PASSED,
719,2/4/2016,FAILED,
720,2/4/2016,FAILED,
721,2/4/2016,FAILED,
722,2/4/2016,PASSED,
723,2/4/2016,FAILED,
724,2/3/2016,FAILED,
725,2/3/2016,PASSED,
726,2/3/2016,FAILED,
727,2/3/2016,,
728,2/3/2016,FAILED,
729,2/3/2016,,
730,2/3/2016,PASSED,
731,2/3/2016,PASSED,
732,2/3/2016,PASSED,
733,2/3/2016,PASSED,
734,2/3/2016,PASSED,
735,2/3/2016,FAILED,
736,2/3/2016,PASSED,
737,2/2/2016,PASSED,
738,2/2/2016,FAILED,
739,2/2/2016,,
740,2/2/2016,FAILED,
741,2/2/2016,FAILED,
742,2/2/2016,FAILED,
743,2/2/2016,PASSED,
744,2/2/2016,PASSED,
745,2/2/2016,FAILED,
746,2/2/2016,FAILED,
747,2/2/2016,PASSED,
748,2/1/2016,FAILED,
749,1/28/2016,PASSED,
750,2/1/2016,PASSED,
751,2/1/2016,FAILED,
752,2/1/2016,PASSED,
753,2/1/2016,PASSED,
754,2/1/2016,,
755,2/1/2016,PASSED,
756,2/1/2016,PASSED,
757,2/1/2016,PASSED,
758,2/1/2016,,
759,2/1/2016,,
760,1/29/2016,FAILED,
761,1/29/2016,PASSED,
762,1/29/2016,FAILED,
763,1/29/2016,PASSED,
764,1/29/2016,FAILED,
765,1/29/2016,PASSED,
766,1/29/2016,FAILED,
767,1/29/2016,FAILED,
768,1/28/2016,PASSED,
769,1/28/2016,PASSED,
770,1/28/2016,PASSED,
771,1/28/2016,PASSED,
772,1/28/2016,FAILED,
773,1/28/2016,FAILED,
774,1/28/2016,PASSED,
775,1/28/2016,PASSED,
776,1/28/2016,FAILED,
777,1/28/2016,PASSED,
778,1/27/2016,FAILED,
779,1/27/2016,,
780,1/27/2016,FAILED,
781,1/27/2016,PASSED,
782,1/27/2016,PASSED,
783,1/27/2016,,
784,1/26/2016,FAILED,
785,1/26/2016,PASSED,
786,1/26/2016,FAILED,
787,1/26/2016,,
788,1/21/2016,FAILED,
789,1/26/2016,FAILED,
790,1/26/2016,PASSED,
791,1/26/2016,FAILED,
792,1/26/2016,PASSED,
793,1/26/2016,FAILED,
794,1/26/2016,PASSED,
795,1/26/2016,PASSED,
796,1/26/2016,FAILED,
797,1/26/2016,PASSED,
798,1/26/2016,PASSED,
799,1/26/2016,FAILED,
800,1/25/2016,PASSED,
801,1/25/2016,PASSED,
802,1/25/2016,FAILED,
803,1/25/2016,PASSED,
804,1/25/2016,FAILED,
805,1/25/2016,FAILED,
806,1/25/2016,PASSED,
807,8/10/2015,PASSED,
808,1/25/2016,PASSED,
809,1/25/2016,,
810,1/25/2016,PASSED,
811,1/25/2016,PASSED,
812,1/25/2016,PASSED,
813,1/25/2016,PASSED,
814,1/25/2016,PASSED,
815,1/25/2016,,
816,1/22/2016,FAILED,
817,1/22/2016,FAILED,
818,1/22/2016,PASSED,
819,1/22/2016,PASSED,
820,1/22/2016,,
821,1/22/2016,PASSED,
822,1/22/2016,,
823,1/22/2016,PASSED,
824,1/22/2016,FAILED,
825,1/22/2016,FAILED,
826,1/22/2016,PASSED,
827,1/21/2016,PASSED,
828,1/21/2016,FAILED,
829,1/21/2016,PASSED,
830,1/21/2016,FAILED,
831,1/21/2016,,
832,1/21/2016,FAILED,
833,1/21/2016,FAILED,
834,1/20/2016,FAILED,
835,1/20/2016,PASSED,
836,1/20/2016,PASSED,
837,1/20/2016,PASSED,
838,1/19/2016,PASSED,
839,1/19/2016,PASSED,
840,1/19/2016,PASSED,
841,1/19/2016,PASSED,
842,1/19/2016,FAILED,
843,1/15/2016,FAILED,
844,1/15/2016,PASSED,
845,1/15/2016,PASSED,
846,1/15/2016,PASSED,
847,1/15/2016,PASSED,
848,1/14/2016,PASSED,
849,1/14/2016,FAILED,
850,1/14/2016,FAILED,
851,1/14/2016,FAILED,
852,1/13/2016,FAILED,
853,1/13/2016,PASSED,
854,1/13/2016,PASSED,
855,1/13/2016,FAILED,
856,1/13/2016,FAILED,
857,1/13/2016,PASSED,
