id,Application/Permit Number,Address,Permit_Type_ID,Category_ID,Contractor_ID
554,6530235,5120 KEYSTONE PL N,,,
555,6530659,5041 WILSON AVE S,,,
556,6530230,515 NE 84TH ST,,,
557,6530023,3421 BELLA VISTA AVE S,,,
558,6530023,3421 BELLA VISTA AVE S,,,
559,6530019,3421 BELLA VISTA AVE S,,,
560,6530019,3421 BELLA VISTA AVE S,,,
561,6529555,5765 25TH AVE NE,,,
562,6530041,9552 EVANSTON AVE N,,,
563,6530564,7712 19TH AVE NW,,,
564,6530564,7712 19TH AVE NW,,,
565,6530560,6815 FREMONT AVE N,,,
566,6512580,1900 1ST AVE,,,
567,6530013,8856 BURKE AVE N,,,
568,6530016,8856 BURKE AVE N,,,
569,6530426,1835 S KING ST,,,
570,6530413,1829B 24TH AVE,,,
571,6530415,818 33RD AVE,,,
572,6530410,1829B 24TH AVE,,,
573,6530205,1401 1ST AVE,,,
574,6530056,4020 56TH AVE SW,,,
575,6530056,4020 56TH AVE SW,,,
576,6530430,4020 56TH AVE SW,,,
577,6530430,4020 56TH AVE SW,,,
578,6529961,1734 M L KING JR WAY S,,,
579,6529960,1734 M L KING JR WAY S,,,
580,6530513,7418 48TH AVE S,,,
581,6530513,7418 48TH AVE S,,,
582,6530197,521 S WELLER ST,,,
583,6530617,22 ETRURIA ST,,,
584,6530619,22 ETRURIA ST,,,
585,6529846,4218A EVANSTON AVE N,,,
586,6529847,9119 FAUNTLEROY WAY SW,,,
587,6530614,2826 NW 94TH ST,,,
588,6530611,315 W BERTONA ST,,,
589,6530610,3815 35TH AVE SW,,,
590,6530609,5758 26TH AVE NE,,,
591,6530607,7017 16TH AVE NE,,,
592,6530605,5921 36TH AVE SW,,,
593,6530338,9107 FAUNTLEROY WAY SW,,,
594,6529295,5601 24TH AVE NW,,,
595,6529294,5601 24TH AVE NW,,,
596,6529293,5601 24TH AVE NW,,,
597,6529291,5601 24TH AVE NW,,,
598,6525088,3801 CALIFORNIA AVE SW,,,
599,6530563,12539 42ND AVE NE,,,
600,6530562,1004 E SHELBY ST,,,
601,6530562,1004 E SHELBY ST,,,
602,6530553,1916 PIKE PL,,,
603,6530551,1100 OLIVE WAY,,,
604,6530524,1507 17TH AVE S,,,
