id,PermitType,PermitNumber,PerrmitStatus
633,Construction,6504547,Application Accepted
634,Construction,6512339,Application Accepted
635,Construction,6509059,Application Accepted
636,Construction,6509059,Application Accepted
637,Construction,6527371,Application Accepted
638,Construction,6527370,Application Accepted
639,Construction,6527369,Application Accepted
640,Construction,6527369,Application Accepted
641,Demolition,6527360,Reviews Completed
642,Demolition,6527359,Reviews Completed
643,Construction,6523720,Application Accepted
644,Construction,6517228,Application Accepted
645,Construction,6524296,Permit Issued
646,Construction,6527655,Permit Issued
647,Construction,6527652,Permit Issued
648,Construction,6527651,Permit Issued
649,Construction,6527648,Permit Issued
650,Construction,6527638,Permit Issued
651,Construction,6501922,Application Accepted
652,Construction,6519555,Application Accepted
653,Construction,6527615,Permit Issued
654,Construction,6527615,Permit Issued
655,Construction,6519226,Permit Issued
656,Construction,6527602,Permit Issued
657,Construction,6517294,Application Accepted
658,Construction,6514242,Permit Issued
659,Demolition,6505842,Permit Issued
660,Construction,6526803,Application Accepted
661,Construction,6515569,Application Accepted
662,Demolition,6527397,Reviews Completed
663,Construction,6486711,Application Accepted
664,Construction,6521208,Permit Issued
665,Construction,6519006,Application Accepted
666,Construction,6524904,Permit Issued
667,Construction,6314114,Application Accepted
668,Demolition,6513298,Permit Closed
669,Construction,6475431,Application Accepted
670,Construction,6512858,Application Accepted
671,Construction,6508319,Application Accepted
672,Construction,6491609,Application Accepted
673,Construction,6514726,Application Accepted
674,Construction,6519362,Application Accepted
675,Construction,6510936,Application Accepted
676,Construction,6527506,Permit Issued
677,Construction,6527506,Permit Issued
678,Construction,6527506,Permit Issued
679,Construction,6504454,Permit Issued
680,Construction,6476693,Application Accepted
681,Construction,6527456,Permit Issued
682,Construction,6517579,Application Accepted
683,Construction,6520315,Application Accepted
684,Construction,6522766,Application Accepted
685,Construction,6502910,Application Accepted
686,Construction,6511455,Permit Issued
687,Construction,6520912,Permit Issued
688,Construction,6506724,Application Accepted
689,Construction,6522672,Application Accepted
690,Construction,6523596,Application Accepted
691,Construction,6514195,Application Accepted
692,Site Development,6512697,Application Accepted
693,Construction,6527400,Permit Issued
694,Construction,6526708,Permit Issued
695,Construction,6527385,Application Accepted
696,Construction,6527276,Permit Issued
697,Construction,6527354,Application Accepted
698,Construction,6527346,Application Accepted
699,Construction,6118993,Initial Information Collected
700,Construction,6526932,Permit Issued
701,Construction,6527338,Permit Issued
