id,Application/Permit Number,Address,Permit_Type_ID,Category_ID,Contractor_ID
480,6530786,5312 9TH AVE NE,0,0,0
481,6530774,4435 35TH AVE SW,0,0,0
482,6530772,4825 RAINIER AVE S,0,0,0
483,6527233,1001 SW KLICKITAT WAY,0,0,0
484,6528216,219 1ST AVE N,0,0,0
485,6530334,620 STEWART ST,0,0,0
486,6530764,10735 DENSMORE AVE N,0,0,0
487,6530756,2332 N 62ND ST,0,0,0
488,6530758,4033 EVANSTON AVE N,0,0,0
489,6530757,2332 N 62ND ST,0,0,0
490,6530755,1207 NW 83RD ST,0,0,0
491,6530755,1207 NW 83RD ST,0,0,0
492,6530755,1207 NW 83RD ST,0,0,0
493,6530752,3707 52ND AVE SW,0,0,0
494,6530739,5240 UNIVERSITY WAY NE,0,0,0
495,6530746,1030 NE 103RD ST,0,0,0
496,6530544,1305 SW CAMBRIDGE ST,0,0,0
497,6530727,611 22ND AVE,0,0,0
498,6530645,7740 BAGLEY AVE N,0,0,0
499,6530625,8712 16TH AVE SW,0,0,0
500,6530726,1818 30TH AVE,0,0,0
501,6530725,1106 NW 60TH ST,0,0,0
502,6529955,550 BROADWAY,0,0,0
503,6528120,8319 WABASH AVE S,0,0,0
504,6529697,2452 WARREN AVE N,0,0,0
505,6529705,2452 WARREN AVE N,0,0,0
506,6530714,5012 SW GRAYSON ST,0,0,0
507,6530714,5012 SW GRAYSON ST,0,0,0
508,6530710,6329 20TH AVE NE,0,0,0
509,6530705,6250 3RD AVE NW,0,0,0
510,6530704,5555 17TH AVE S,0,0,0
511,6530704,5555 17TH AVE S,0,0,0
512,6530406,2512 11TH AVE W,0,0,0
513,6530401,2512 11TH AVE W,0,0,0
514,6530700,1141 NW 56TH ST,0,0,0
515,6529869,3007 S GENESEE ST,0,0,0
516,6529867,3007 S GENESEE ST,0,0,0
517,6530225,3302 W DRAVUS ST,0,0,0
518,6530225,3302 W DRAVUS ST,0,0,0
519,6530223,3419 21ST AVE S,0,0,0
520,6530221,3419 21ST AVE S,0,0,0
521,6529821,2347C MINOR AVE E,0,0,0
522,6530694,6505 15TH AVE NE,0,0,0
523,6530698,1550 W ARMORY WAY,0,0,0
524,6529820,6817 SEWARD PARK AVE S,0,0,0
525,6529819,8664 ISLAND DR S,0,0,0
526,6530218,11223 PALATINE AVE N,0,0,0
527,6530218,11223 PALATINE AVE N,0,0,0
528,6530691,13823 GREENWOOD AVE N,0,0,0
529,6527667,6546 32ND AVE NE,0,0,0
530,6529816,1110 N 49TH ST,0,0,0
531,6529815,8664 ISLAND DR S,0,0,0
532,6529814,6817 SEWARD PARK AVE S,0,0,0
533,6529811,2347C MINOR AVE E,0,0,0
534,6526618,1415 1ST AVE,0,0,0
535,6530682,2337 N 140TH ST,0,0,0
536,6530679,2337 N 140TH ST,0,0,0
537,6530676,1201 3RD AVE,0,0,0
538,6527258,221 24TH AVE E,0,0,0
539,6527256,221 24TH AVE E,0,0,0
540,6530681,7721 20TH AVE NW,0,0,0
541,6526990,1523 15TH AVE W,0,0,0
542,6526879,5803 15TH AVE NW,0,0,0
543,6530673,13719 41ST AVE NE,0,0,0
544,6530673,13719 41ST AVE NE,0,0,0
545,6530670,13719 41ST AVE NE,0,0,0
546,6530670,13719 41ST AVE NE,0,0,0
547,6530211,1700 ARCH AVE SW,0,0,0
548,6530208,1700 ARCH AVE SW,0,0,0
549,6530660,5253 49TH AVE SW,0,0,0
