id,Type
1651,Demolition
1652,Construction
1653,Construction
1654,Construction
1655,Construction
1656,Construction
1657,Construction
1658,Construction
1659,Construction
1660,Construction
1661,Construction
1662,Construction
1663,Construction
1664,Construction
1665,Demolition
1666,Construction
1667,Demolition
1668,Construction
1669,Construction
1670,Construction
1671,Construction
1672,Construction
1673,Construction
1674,Construction
1675,Construction
1676,Construction
1677,Construction
1678,Demolition
1679,Construction
1680,Construction
1681,Construction
1682,Construction
1683,Construction
1684,Construction
1685,Construction
1686,Construction
1687,Construction
1688,Construction
1689,Construction
1690,Construction
1691,Construction
1692,Construction
1693,Construction
1694,Construction
1695,Construction
1696,Construction
1697,Construction
1698,Construction
1699,Construction
1700,Construction
1701,Construction
1702,Construction
1703,Demolition
1704,Construction
1705,Construction
1706,Construction
1707,Construction
1708,Construction
1709,Construction
1710,Construction
1711,Construction
1712,Construction
1713,Construction
1714,Construction
1715,Construction
1716,Demolition
1717,Construction
1718,Construction
1719,Construction
1720,Construction
1721,Construction
1722,Construction
1723,Construction
1724,Construction
1725,Construction
1726,Construction
1727,Construction
1728,Construction
1729,Construction
1730,Construction
1731,Site Development
1732,Site Development
1733,Construction
1734,Construction
1735,Construction
1736,Construction
1737,Construction
1738,Construction
1739,Construction
1740,Construction
1741,Construction
1742,Construction
1743,Construction
1744,Construction
1745,Construction
1746,Demolition
1747,Construction
1748,Construction
1749,Construction
1750,Construction
1751,Construction
1752,Construction
1753,Construction
1754,Demolition
1755,Construction
1756,Construction
1757,Construction
1758,Construction
1759,Construction
1760,Construction
1761,Construction
1762,Construction
1763,Construction
1764,Construction
1765,Construction
1766,Construction
1767,Construction
1768,Construction
1769,Construction
1770,Construction
1771,Demolition
1772,Demolition
1773,Construction
1774,Demolition
1775,Construction
1776,Construction
1777,Construction
1778,Construction
1779,Construction
1780,Construction
1781,Construction
1782,Construction
1783,Construction
1784,Demolition
1785,Construction
1786,Construction
1787,Construction
1788,Construction
1789,Site Development
1790,Construction
1791,Demolition
1792,Construction
1793,Demolition
1794,Construction
1795,Construction
1796,Construction
1797,Construction
1798,Construction
1799,Construction
1800,Construction
1801,Construction
1802,Construction
1803,Demolition
1804,Construction
1805,Construction
1806,Construction
1807,Construction
1808,Demolition
1809,Construction
1810,Construction
1811,Demolition
1812,Demolition
1813,Demolition
1814,Construction
1815,Construction
1816,Construction
1817,Construction
1818,Construction
1819,Construction
1820,Construction
1821,Demolition
1822,Construction
1823,Site Development
1824,Site Development
1825,Construction
1826,Construction
1827,Construction
1828,Construction
1829,Construction
1830,Construction
1831,Construction
1832,Construction
1833,Construction
1834,Construction
1835,Construction
1836,Construction
1837,Construction
1838,Construction
1839,Construction
1840,Construction
1841,Construction
1842,Construction
1843,Demolition
1844,Construction
1845,Construction
1846,Construction
1847,Construction
1848,Construction
1849,Construction
1850,Construction
1851,Construction
1852,Construction
1853,Construction
1854,Construction
1855,Construction
1856,Construction
1857,Construction
1858,Construction
1859,Construction
1860,Construction
1861,Construction
1862,Construction
1863,Construction
1864,Construction
1865,Construction
1866,Construction
1867,Construction
1868,Construction
1869,Construction
1870,Construction
1871,Demolition
1872,Construction
1873,Construction
1874,Construction
1875,Construction
1876,Construction
1877,Construction
1878,Construction
1879,Construction
1880,Construction
1881,Construction
1882,Construction
1883,Construction
1884,Construction
1885,Construction
1886,Construction
1887,Construction
1888,Construction
1889,Construction
1890,Construction
1891,Construction
1892,Construction
1893,Construction
1894,Construction
1895,Construction
1896,Construction
1897,Construction
1898,Construction
1899,Construction
1900,Demolition
1901,Construction
1902,Construction
1903,Construction
1904,Construction
1905,Construction
1906,Construction
1907,Demolition
1908,Demolition
1909,Construction
1910,Construction
