id,Street,Longitude,Latitude,BuildingPermit_id
353,1201 3RD AVE,-122.33612134,47.60723772,
354,1735 DEXTER AVE N,-122.34267297,47.63491484,
355,1251 JOHN ST,-122.33142264,47.61950007,
356,1956 26TH AVE E,-122.29913369,47.637437,
357,2101 7TH AVE,-122.33938109,47.61586972,
358,3720 59TH AVE SW,-122.4080401,47.57047257,
359,215 2ND AVE S,-122.33197468,47.60038734,
360,8149 28TH AVE SW,-122.36884483,47.52859633,
361,450 NE 100TH ST,-122.32353047,47.70178813,
362,11756 4TH AVE NW,-122.36199128,47.71585295,
363,3322 W GOVERNMENT WAY,-122.40053034,47.6599128,
364,1446 NW 62ND ST,-122.37574279,47.67404923,
365,8046 26TH AVE NW,-122.38954593,47.68814913,
366,74 S LUCILE ST,-122.33558626,47.5535981,
367,6655 NE 60TH ST,-122.25467929,47.67192819,
368,4405 CORLISS AVE N,-122.33163123,47.66050825,
369,7112 48TH AVE S,-122.27241268,47.53854212,
370,902 31ST AVE,-122.29231192,47.61052625,
371,1001 4TH AVE,-122.33389399,47.60615304,
372,1001 4TH AVE,-122.33389399,47.60615304,
373,1001 4TH AVE,-122.33389399,47.60615304,
374,1316 E REMINGTON CT,-122.31463399,47.6056934,
375,1545 NE 88TH ST,-122.31032679,47.69196538,
376,1545 NE 88TH ST,-122.31032679,47.69196538,
377,5130 S LUCILE ST,-122.26854862,47.55290722,
378,2020 S NYE PL,-122.3051544,47.5954716,
379,4443 S EDDY ST,-122.27623279,47.54497132,
380,4207 BAGLEY AVE N,-122.33286153,47.65828151,
381,2101 4TH AVE,-122.34245444,47.61431133,
382,4307 S WEBSTER ST,-122.27886419,47.53506603,
383,10324 23RD AVE NE,-122.30403423,47.70362007,
384,2349 WEST VIEWMONT WAY W,-122.40892074,47.63930517,
385,5524 ASHWORTH AVE N,-122.33875812,47.66947321,
386,2629 NW 63RD ST,-122.39138445,47.67430996,
387,802 E PIKE ST,-122.32175689,47.61438964,
388,706 N 143RD ST,-122.35012545,47.73250993,
389,5816 15TH AVE NW,-122.37569856,47.67120442,
390,2309 N 62ND ST,-122.33042719,47.67343902,
391,501 FAIRVIEW AVE N,-122.33458524,47.62334132,
392,3126 WEST LAURELHURST DR NE,-122.27748242,47.65068587,
393,3126 WEST LAURELHURST DR NE,-122.27748242,47.65068587,
394,2016 E MILLER ST,-122.30467474,47.64191819,
395,2016 E MILLER ST,-122.30467474,47.64191819,
396,600 STEWART ST,-122.33726765,47.61391287,
397,131 22ND AVE E,-122.30391655,47.61932384,
398,4700 SW ADMIRAL WAY,-122.39306099,47.58099241,
399,612 N 45TH ST,-122.35088977,47.66159606,
400,4546 22ND AVE SW,-122.36141689,47.5623508,
401,333 DEXTER AVE N,-122.34293264,47.62177959,
402,3914 48TH PL NE,-122.27540641,47.65750961,
403,8755 PHINNEY AVE N,-122.35426157,47.6939539,
404,10528 15TH AVE NW,-122.37631529,47.70604218,
405,601 UNION ST,-122.33207691,47.610431,
