id,Application Permit,Address,Location_id,Project_Information_id,Application_Information_id
45346,6075656,610 32ND AVE E,45346,45346,45346
50265,6075666,,50265,50265,50265
46744,6075672,5415 CALIFORNIA AVE SW,46744,46744,46744
39690,6075673,4800 SAND POINT WAY NE,39690,39690,39690
50172,6075676,4800 SAND POINT WAY NE,50172,50172,50172
46485,6075696,2207 12TH AVE S,46485,46485,46485
50190,6075717,1102 COLUMBIA ST,50190,50190,50190
48636,6075737,1223 E CHERRY ST,48636,48636,48636
39705,6075741,1223 E CHERRY ST,39705,39705,39705
48635,6075742,1223 E CHERRY ST,48635,48635,48635
39713,6075777,400 NE 50TH ST,39713,39713,39713
43320,6075791,12260 9TH AVE NW,43320,43320,43320
24707,6075900,600 3RD AVE,24707,24707,24707
50091,6075979,1135 S WEBSTER ST,50091,50091,50091
44336,6075982,3715 SW 107TH ST,44336,44336,44336
39521,6076104,5200 EAST MARGINAL WAY S,39521,39521,39521
26070,6076108,7023 27TH AVE NW,26070,26070,26070
47622,6076112,1419 12TH AVE,47622,47622,47622
44710,6076114,3423 SOUND VIEW DR W,44710,44710,44710
45801,6076119,4400 37TH AVE S,45801,45801,45801
39790,6076159,1757 1ST AVE S,39790,39790,39790
47187,6076224,3724 W COMMODORE WAY,47187,47187,47187
45448,6076302,7351 20TH AVE NE,45448,45448,45448
