id,Application Permit,Action Type,Work Type,Value,Location_id
48836,6076540,,Plan Review,$0.00,0
44214,6076601,,Plan Review,$0.00,0
47432,6076624,ADD/ALT,Plan Review,$0.00,0
47242,6076639,ADD/ALT,Plan Review,$0.00,0
7963,6076671,,Plan Review,$0.00,0
43360,6076680,NEW,Plan Review,$0.00,0
47480,6076713,ADD/ALT,Plan Review,$0.00,0
49773,6076767,ADD/ALT,No plan review,$5000.00,0
44460,6076777,ADD/ALT,Plan Review,$0.00,0
50002,6076837,,Plan Review,$0.00,0
44311,6076852,ADD/ALT,Plan Review,$0.00,0
47296,6076935,ADD/ALT,Plan Review,$0.00,0
7884,6076941,,Plan Review,$0.00,0
45267,6076946,ADD/ALT,Plan Review,$0.00,0
47174,6076971,ADD/ALT,Plan Review,$0.00,0
7932,6076989,,Plan Review,$0.00,0
50330,6076996,,Plan Review,$0.00,0
48269,6077034,NO CONSTRUCTION,Plan Review,$0.00,0
49664,6077075,ADD/ALT,Plan Review,$0.00,0
44824,6077097,ADD/ALT,No plan review,$0.00,0
39681,6077099,ADD/ALT,Plan Review,$6000.00,0
21360,6077122,NO CONSTRUCTION,Plan Review,$0.00,0
45096,6077232,ADD/ALT,Plan Review,$10000.00,0
48263,6077284,ADD/ALT,Plan Review,$0.00,0
46765,6077285,ADD/ALT,Plan Review,$0.00,0
39580,6077291,,No plan review,$0.00,0
44248,6077330,NEW,Plan Review,$0.00,0
46486,6077416,,Plan Review,$0.00,0
44463,6077457,NEW,Plan Review,$0.00,0
43783,6077495,NEW,Plan Review,$0.00,0
44393,6077542,,Plan Review,$0.00,0
44314,6077573,,Plan Review,$0.00,0
39712,6077648,ADD/ALT,Plan Review,$3500.00,0
44417,6077678,NEW,Plan Review,$0.00,0
44418,6077683,NEW,Plan Review,$0.00,0
15233,6077713,NEW,Plan Review,$0.00,0
38019,6077773,NEW,Plan Review,$422811.00,0
44168,6077790,,Plan Review,$0.00,0
47886,6077805,,Plan Review,$0.00,0
50329,6077893,,Plan Review,$0.00,0
44415,6077918,,Plan Review,$0.00,0
48741,6077920,,Plan Review,$0.00,0
8152,6077955,,Plan Review,$0.00,0
44692,6078003,,Plan Review,$29753.00,0
39427,6078087,NEW,Plan Review,$456943.00,0
7820,6078160,,Plan Review,$0.00,0
45415,6078168,ADD/ALT,Plan Review,$0.00,0
12211,6078193,ADD/ALT,No plan review,$5475.00,0
39709,6078213,ADD/ALT,Plan Review,$5000.00,0
44857,6078216,ADD/ALT,Plan Review,$0.00,0
44459,6078259,,Plan Review,$0.00,0
47758,6078304,NEW,Plan Review,$0.00,0
49787,6078319,ADD/ALT,Plan Review,$0.00,0
46064,6078334,,Plan Review,$0.00,0
39673,6078337,ADD/ALT,Plan Review,$22000.00,0
39678,6078350,ADD/ALT,Plan Review,$10000.00,0
49548,6078352,ADD/ALT,Plan Review,$1.00,0
47919,6078364,NEW,Plan Review,$0.00,0
