Game,Away,Home,Week,Day,GameDate,Time,Stadium,Address,Capacity
137,Bears,Rams,10,Sunday,11/15/2015,1:00 PM ET ,The Dome at America's Center,"701 Convention Plaza 
St. Louis, Missouri, United States 63101","66,000"
138,Saints,Redskins,10,Sunday,11/15/2015,1:00 PM ET ,FedExField,"1600 Fedex Way, Greater Landover, MD 20785","79,000"
139,Dolphins,Eagles,10,Sunday,11/15/2015,1:00 PM ET ,Lincoln Financial Field,"1 Lincoln Financial Field Way, Philadelphia, PA 19147","69,176"
140,Browns,Steelers,10,Sunday,11/15/2015,1:00 PM ET ,Heinz Field,"100 Art Rooney Ave, Pittsburgh, PA 15212","65,050"
141,Jaguars,Ravens,10,Sunday,11/15/2015,1:00 PM ET ,M&T Bank Stadium,"1101 Russell St, Baltimore, MD 21230","71,008"
142,Vikings,Raiders,10,Sunday,11/15/2015,4:05 PM ET ,O.co Coliseum,"7000 Coliseum Way, Oakland, CA 94621","63,132"
143,Patriots,Giants,10,Sunday,11/15/2015,4:25 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
144,Chiefs,Broncos,10,Sunday,11/15/2015,4:25 PM ET ,Sports Authority Field at Mile High,"1701 Bryant St, Denver, CO 80204","76,125"
145,Cardinals,Seahawks,10,Sunday,11/15/2015,8:30 PM ET ,CenturyLink Field,"800 Occidental Ave S, Seattle, WA 98134","67,000"
146,Texans,Bengals,10,Monday,11/16/2015,8:30 PM ET ,Paul Brown Stadium,"1 Paul Brown Stadium, Cincinnati, OH 45202","65,535"
147,Titans,Jaguars,11,Thursday,11/19/2015,8:25 PM ET ,"EverBank Field
","1 Everbank Field Dr, Jacksonville, FL 32202
","67,164"
148,Raiders,Lions,11,Sunday,11/22/2015,1:00 PM ET ,Ford Field,"2000 Brush St, Detroit, MI 48226","65,000"
149,Colts,Falcons,11,Sunday,11/22/2015,1:00 PM ET ,Georgia Dome,"1 Georgia Dome Dr, Atlanta, GA 30313","71,228"
150,Jets,Texans,11,Sunday,11/22/2015,1:00 PM ET ,NRG Stadium,"Reliant Pkwy, Houston, TX 77054","71,500"
