id,Category,DesignType,DesignIncluded
500,MULTIFAMILY,II,Y
501,INDUSTRIAL,II,Y
502,COMMERCIAL,II,Y
503,COMMERCIAL,II,Y
504,INDUSTRIAL,II,Y
505,COMMERCIAL,II,N
506,INSTITUTIONAL,II,N
507,MULTIFAMILY,II,N
508,MULTIFAMILY,II,N
509,SINGLE FAMILY / DUPLEX,II,N
510,SINGLE FAMILY / DUPLEX,I,N
511,MULTIFAMILY,II,N
512,MULTIFAMILY,II,N
513,MULTIFAMILY,II,N
514,MULTIFAMILY,II,N
515,MULTIFAMILY,II,N
516,SINGLE FAMILY / DUPLEX,II,N
517,SINGLE FAMILY / DUPLEX,II,N
518,MULTIFAMILY,II,N
519,SINGLE FAMILY / DUPLEX,II,N
520,MULTIFAMILY,II,N
521,MULTIFAMILY,II,N
522,SINGLE FAMILY / DUPLEX,II,N
523,MULTIFAMILY,II,N
524,SINGLE FAMILY / DUPLEX,I,N
525,SINGLE FAMILY / DUPLEX,II,N
526,SINGLE FAMILY / DUPLEX,II,N
527,SINGLE FAMILY / DUPLEX,II,N
528,SINGLE FAMILY / DUPLEX,II,N
529,SINGLE FAMILY / DUPLEX,II,N
530,MULTIFAMILY,II,N
531,MULTIFAMILY,II,N
532,SINGLE FAMILY / DUPLEX,II,N
533,MULTIFAMILY,II,N
534,MULTIFAMILY,II,N
535,MULTIFAMILY,II,N
536,MULTIFAMILY,II,Y
537,MULTIFAMILY,II,N
538,MULTIFAMILY,II,N
539,SINGLE FAMILY / DUPLEX,II,N
540,MULTIFAMILY,II,N
541,MULTIFAMILY,II,Y
542,SINGLE FAMILY / DUPLEX,II,N
543,MULTIFAMILY,II,N
544,COMMERCIAL,II,N
545,SINGLE FAMILY / DUPLEX,II,N
546,MULTIFAMILY,II,N
547,MULTIFAMILY,II,N
548,COMMERCIAL,II,N
549,SINGLE FAMILY / DUPLEX,I,
550,MULTIFAMILY,II,N
551,MULTIFAMILY,II,Y
552,MULTIFAMILY,II,N
553,MULTIFAMILY,II,N
554,MULTIFAMILY,II,N
555,MULTIFAMILY,II,Y
556,MULTIFAMILY,II,Y
557,MULTIFAMILY,II,Y
558,COMMERCIAL,II,N
559,MULTIFAMILY,II,N
560,MULTIFAMILY,II,N
561,MULTIFAMILY,II,N
562,MULTIFAMILY,II,
563,MULTIFAMILY,II,N
564,MULTIFAMILY,II,Y
565,SINGLE FAMILY / DUPLEX,I,N
566,SINGLE FAMILY / DUPLEX,I,N
567,SINGLE FAMILY / DUPLEX,I,N
568,SINGLE FAMILY / DUPLEX,II,N
569,SINGLE FAMILY / DUPLEX,II,N
570,MULTIFAMILY,IV,N
571,MULTIFAMILY,II,Y
572,SINGLE FAMILY / DUPLEX,II,N
573,MULTIFAMILY,II,N
574,MULTIFAMILY,II,N
575,INSTITUTIONAL,II,Y
576,MULTIFAMILY,II,Y
577,MULTIFAMILY,II,Y
578,COMMERCIAL,II,Y
579,COMMERCIAL,II,Y
580,COMMERCIAL,II,Y
581,SINGLE FAMILY / DUPLEX,I,N
582,MULTIFAMILY,II,N
583,INSTITUTIONAL,I,N
584,MULTIFAMILY,II,N
585,MULTIFAMILY,II,N
586,MULTIFAMILY,II,N
587,SINGLE FAMILY / DUPLEX,II,N
588,MULTIFAMILY,II,Y
589,INDUSTRIAL,II,N
590,SINGLE FAMILY / DUPLEX,II,N
591,MULTIFAMILY,II,N
592,COMMERCIAL,II,Y
593,SINGLE FAMILY / DUPLEX,II,N
594,SINGLE FAMILY / DUPLEX,I,N
595,MULTIFAMILY,II,N
596,MULTIFAMILY,II,N
597,COMMERCIAL,II,N
598,MULTIFAMILY,II,N
599,COMMERCIAL,II,N
600,MULTIFAMILY,II,N
601,SINGLE FAMILY / DUPLEX,I,N
602,MULTIFAMILY,II,N
603,MULTIFAMILY,II,
604,SINGLE FAMILY / DUPLEX,II,N
605,MULTIFAMILY,II,N
606,MULTIFAMILY,II,N
607,SINGLE FAMILY / DUPLEX,II,N
608,SINGLE FAMILY / DUPLEX,II,N
609,COMMERCIAL,II,Y
610,COMMERCIAL,II,Y
611,MULTIFAMILY,II,N
612,SINGLE FAMILY / DUPLEX,I,N
613,MULTIFAMILY,I,N
614,MULTIFAMILY,II,N
615,MULTIFAMILY,II,N
616,,,
617,SINGLE FAMILY / DUPLEX,II,N
618,MULTIFAMILY,II,N
619,SINGLE FAMILY / DUPLEX,II,N
620,SINGLE FAMILY / DUPLEX,II,N
621,COMMERCIAL,I,N
622,MULTIFAMILY,II,N
623,SINGLE FAMILY / DUPLEX,II,N
624,MULTIFAMILY,II,N
625,SINGLE FAMILY / DUPLEX,IV,N
626,COMMERCIAL,I,N
627,SINGLE FAMILY / DUPLEX,II,N
628,SINGLE FAMILY / DUPLEX,II,N
629,MULTIFAMILY,II,Y
630,MULTIFAMILY,II,N
631,MULTIFAMILY,II,Y
632,MULTIFAMILY,II,Y
633,MULTIFAMILY,II,Y
634,INSTITUTIONAL,II,N
635,MULTIFAMILY,II,Y
636,MULTIFAMILY,II,Y
637,MULTIFAMILY,II,N
638,SINGLE FAMILY / DUPLEX,II,N
639,MULTIFAMILY,II,Y
640,COMMERCIAL,I,N
641,MULTIFAMILY,II,N
642,MULTIFAMILY,II,Y
643,,,
644,SINGLE FAMILY / DUPLEX,I,N
645,MULTIFAMILY,II,N
646,SINGLE FAMILY / DUPLEX,II,N
647,MULTIFAMILY,III,N
648,SINGLE FAMILY / DUPLEX,II,N
649,COMMERCIAL,II,N
650,SINGLE FAMILY / DUPLEX,II,N
651,SINGLE FAMILY / DUPLEX,II,N
652,SINGLE FAMILY / DUPLEX,II,N
653,COMMERCIAL,II,N
654,MULTIFAMILY,II,N
655,MULTIFAMILY,II,N
656,COMMERCIAL,II,N
657,MULTIFAMILY,III,N
658,MULTIFAMILY,II,N
659,COMMERCIAL,II,N
660,INSTITUTIONAL,II,Y
661,MULTIFAMILY,IV,Y
662,MULTIFAMILY,II,N
663,COMMERCIAL,II,N
664,MULTIFAMILY,II,Y
665,MULTIFAMILY,II,N
666,MULTIFAMILY,I,N
667,SINGLE FAMILY / DUPLEX,II,N
668,MULTIFAMILY,I,N
669,SINGLE FAMILY / DUPLEX,II,N
670,MULTIFAMILY,II,N
671,INDUSTRIAL,II,N
672,COMMERCIAL,II,Y
673,SINGLE FAMILY / DUPLEX,I,N
674,SINGLE FAMILY / DUPLEX,I,N
675,SINGLE FAMILY / DUPLEX,I,N
676,MULTIFAMILY,II,N
677,MULTIFAMILY,II,Y
678,SINGLE FAMILY / DUPLEX,I,N
679,MULTIFAMILY,II,N
680,SINGLE FAMILY / DUPLEX,II,N
681,COMMERCIAL,II,Y
682,SINGLE FAMILY / DUPLEX,II,N
683,MULTIFAMILY,II,N
684,MULTIFAMILY,II,N
685,MULTIFAMILY,II,Y
686,SINGLE FAMILY / DUPLEX,II,N
687,MULTIFAMILY,II,N
688,COMMERCIAL,II,Y
689,MULTIFAMILY,II,Y
690,SINGLE FAMILY / DUPLEX,I,N
691,SINGLE FAMILY / DUPLEX,II,N
692,MULTIFAMILY,II,N
693,INDUSTRIAL,II,N
694,SINGLE FAMILY / DUPLEX,II,N
695,MULTIFAMILY,II,N
696,MULTIFAMILY,II,N
697,SINGLE FAMILY / DUPLEX,II,N
698,SINGLE FAMILY / DUPLEX,II,N
699,MULTIFAMILY,II,Y
700,MULTIFAMILY,II,N
701,MULTIFAMILY,I,N
702,MULTIFAMILY,II,N
703,MULTIFAMILY,II,N
704,MULTIFAMILY,II,N
705,SINGLE FAMILY / DUPLEX,I,N
706,MULTIFAMILY,I,N
707,MULTIFAMILY,II,
708,SINGLE FAMILY / DUPLEX,II,N
709,,II,N
710,SINGLE FAMILY / DUPLEX,II,N
711,SINGLE FAMILY / DUPLEX,II,N
712,MULTIFAMILY,II,N
713,MULTIFAMILY,II,N
714,INSTITUTIONAL,II,N
715,SINGLE FAMILY / DUPLEX,II,N
716,SINGLE FAMILY / DUPLEX,II,N
717,SINGLE FAMILY / DUPLEX,II,N
718,SINGLE FAMILY / DUPLEX,II,N
719,MULTIFAMILY,II,N
720,SINGLE FAMILY / DUPLEX,II,N
721,MULTIFAMILY,II,N
722,INDUSTRIAL,II,N
723,COMMERCIAL,II,Y
724,COMMERCIAL,II,Y
725,COMMERCIAL,II,Y
726,MULTIFAMILY,II,Y
727,MULTIFAMILY,II,Y
728,MULTIFAMILY,II,Y
729,SINGLE FAMILY / DUPLEX,II,N
730,SINGLE FAMILY / DUPLEX,I,N
731,MULTIFAMILY,I,N
732,INDUSTRIAL,I,N
733,INSTITUTIONAL,,
734,SINGLE FAMILY / DUPLEX,II,N
735,SINGLE FAMILY / DUPLEX,II,N
736,MULTIFAMILY,II,N
737,COMMERCIAL,II,N
738,SINGLE FAMILY / DUPLEX,II,N
739,SINGLE FAMILY / DUPLEX,II,N
740,MULTIFAMILY,II,Y
741,COMMERCIAL,II,Y
742,MULTIFAMILY,IV,N
743,SINGLE FAMILY / DUPLEX,II,N
744,SINGLE FAMILY / DUPLEX,I,N
745,COMMERCIAL,II,N
746,COMMERCIAL,II,N
747,SINGLE FAMILY / DUPLEX,II,N
