ID,Street,Longitude,Latitude,BuildingPermit_id
320,5140 S AUGUSTA ST,-122.26894669,47.50037106,
321,1128 SW SPOKANE ST,-122.35145805,47.5720269,
322,2407 NW 59TH ST,-122.38809669,47.67146019,
323,1620 BROADMOOR DR E,-122.2879518,47.6336357,
324,1201 AMGEN CT W,-122.37476567,47.62951836,
325,118 5TH AVE N,-122.34743198,47.61920146,
326,9028 14TH AVE SW,-122.35256815,47.5219911,
327,8420 35TH AVE SW,-122.37635785,47.5276365,
328,735 N 95TH ST,-122.34846748,47.69755143,
329,1717 16TH AVE,-122.31172392,47.61701353,
330,307 BROAD ST,-122.35039295,47.61827068,
331,8500 LAKE CITY WAY NE,-122.30741957,47.69057976,
332,4059 LATONA AVE NE,-122.32605274,47.65723207,
333,2200 6TH AVE,-122.34113446,47.61641528,
334,1938 10TH AVE E,-122.31985773,47.6371059,
335,6214 15TH AVE NE,-122.31169039,47.67443965,
336,2415 11TH AVE W,-122.37191166,47.64010927,
337,5740 SW ADMIRAL WAY,-122.4069589,47.57682813,
338,1715 SUNSET AVE SW,-122.39229227,47.587818,
339,4441 21ST AVE SW,-122.36074312,47.5638733,
340,3700 37TH AVE SW,-122.37789445,47.57104413,
341,5950 OAKHURST RD S,-122.26227391,47.54957088,
342,13003 4TH AVE NW,-122.36265853,47.72347576,
343,2606 14TH AVE W,-122.37464696,47.64313671,
344,2606 14TH AVE W,-122.37464696,47.64313671,
345,2604 14TH AVE W,-122.37464406,47.64314172,
346,2604 14TH AVE W,-122.37464406,47.64314172,
347,11336 20TH AVE NE,-122.30580824,47.71129031,
348,11336 20TH AVE NE,-122.30580824,47.71129031,
349,2060 6TH AVE,-122.33873546,47.61506349,
350,6400 EAST GREEN LAKE WAY N,-122.33300164,47.67534853,
351,13758 LAKE CITY WAY NE,-122.29185863,47.7297446,
352,1593 PARKSIDE DR E,-122.29138755,47.63460286,
353,167 20TH AVE,-122.30664843,47.6032202,
354,169 20TH AVE,-122.30664843,47.6032202,
355,169 20TH AVE,-122.30664843,47.6032202,
356,167 20TH AVE,-122.30664843,47.6032202,
357,509 32ND AVE S,-122.2917195,47.5976004,
358,2347 N 51ST ST,-122.32899391,47.66556279,
359,9210 20TH AVE SW,-122.35879983,47.52067523,
360,2409 E PROSPECT ST,-122.30113825,47.62911345,
361,303 E PIKE ST,-122.32721261,47.61390837,
362,2721 14TH AVE S,-122.31487587,47.57885517,
363,5148 NE 54TH ST,-122.27123242,47.66782147,
364,3053 32ND AVE W,-122.39851917,47.6484096,
365,5011 48TH AVE S,-122.27294563,47.55664503,
366,7516 25TH AVE NW,-122.38845215,47.6837134,
367,3042 NW 64TH ST,-122.39755943,47.67536937,
368,3508 S OREGON ST,-122.2887427,47.56297321,
369,13003 4TH AVE NW,-122.36265853,47.72347576,
370,8759 PHINNEY AVE N,-122.35424965,47.69407027,
371,612 N 45TH ST,-122.35088977,47.66159606,
372,8755 PHINNEY AVE N,-122.35426157,47.6939539,
373,1716 22ND AVE S,-122.30351515,47.58789403,
374,1716 22ND AVE S,-122.30351515,47.58789403,
375,1716 22ND AVE S,-122.30351515,47.58789403,
376,1716 22ND AVE S,-122.30351515,47.58789403,
377,1716 22ND AVE S,-122.30351515,47.58789403,
378,1716 22ND AVE S,-122.30351515,47.58789403,
379,3406 FREMONT AVE N,-122.34944787,47.64983747,
380,2119 29TH AVE S,-122.29545483,47.58383366,
