ID,PermitNumber,PermitType,Status
612,6514818,Construction,Application Accepted
613,6521308,Construction,Reviews Completed
614,6521332,Construction,Reviews Completed
615,6526910,Construction,Application Accepted
616,6528095,Construction,Permit Issued
617,6515327,Construction,Application Accepted
618,6512113,Construction,Application Accepted
619,6514547,Construction,Application Accepted
620,6522705,Construction,Application Accepted
621,6523984,Construction,Application Accepted
622,6513025,Construction,Application Accepted
623,6513535,Construction,Application Accepted
624,6516710,Construction,Application Accepted
625,6519393,Construction,Application Accepted
626,6526594,Construction,Application Accepted
627,6496920,Construction,Permit Issued
628,6527985,Construction,Permit Issued
629,6496636,Construction,Application Accepted
630,6527912,Construction,Permit Issued
631,6527912,Construction,Permit Issued
632,6527937,Construction,Permit Issued
633,6527925,Construction,Permit Issued
634,6520201,Construction,Application Accepted
635,6482483,Construction,Application Accepted
636,6527412,Construction,Permit Issued
637,6527837,Construction,Permit Issued
638,6527854,Construction,Permit Issued
639,6527854,Construction,Permit Issued
640,6503124,Construction,Permit Issued
641,6520916,Construction,Permit Issued
642,6527480,Construction,Permit Issued
643,6527480,Construction,Permit Issued
644,6527477,Construction,Permit Issued
645,6508813,Construction,Application Accepted
646,6505549,Construction,Application Accepted
647,6515434,Construction,Application Accepted
648,6514110,Construction,Application Accepted
649,6514534,Construction,Application Accepted
650,6517082,Construction,Application Accepted
651,6527755,Construction,Reviews Completed
652,6510653,Construction,Application Accepted
653,6488912,Construction,Application Accepted
654,6520641,Construction,Reviews Completed
655,6512880,Construction,Application Accepted
656,6508432,Construction,Application Accepted
657,6527712,Construction,Permit Issued
658,6527728,Construction,Permit Issued
659,6527725,Construction,Permit Issued
660,6527643,Construction,Application Accepted
661,6504547,Construction,Application Accepted
662,6512339,Construction,Application Accepted
663,6509059,Construction,Application Accepted
664,6509059,Construction,Application Accepted
665,6527371,Construction,Application Accepted
666,6527370,Construction,Application Accepted
667,6527369,Construction,Application Accepted
668,6527369,Construction,Application Accepted
669,6527360,Demolition,Reviews Completed
670,6527359,Demolition,Reviews Completed
671,6523720,Construction,Application Accepted
672,6517228,Construction,Application Accepted
673,6524296,Construction,Permit Issued
674,6527655,Construction,Permit Issued
675,6527652,Construction,Permit Issued
676,6527651,Construction,Permit Issued
677,6527648,Construction,Permit Issued
678,6527638,Construction,Permit Issued
679,6501922,Construction,Application Accepted
680,6519555,Construction,Application Accepted
681,6527615,Construction,Permit Issued
682,6527615,Construction,Permit Issued
683,6514726,Construction,Application Accepted
684,6519226,Construction,Permit Issued
685,6527602,Construction,Permit Issued
