id,WEBNAME,REGIONID,OUTOFSERV,VACANT,STATUS,DATETIME
348,DIAMOND,0,,,,['DATETIME']
349,,,,,,['DATETIME']
350,WORLDMARK CLUB VALET,0,,,,['DATETIME']
351,DIAMOND,0,,,,['DATETIME']
352,REPUBLIC,0,,,,['DATETIME']
353,DIAMOND,0,,,,['DATETIME']
354,W HOTEL,0,,,,['DATETIME']
355,DIAMOND,0,,,,['DATETIME']
356,FILSON CORPORATION,0,,,,['DATETIME']
357,DIAMOND,0,,,,['DATETIME']
358,IPM - MERRILL PLACE,0,,,,['DATETIME']
359,WJA PLLC,0,,,,['DATETIME']
360,STANDARD,0,,,,['DATETIME']
361,DIAMOND,0,,,,['DATETIME']
362,U-PARK,0,,,,['DATETIME']
363,DIAMOND,0,,,,['DATETIME']
364,DIAMOND,0,,,,['DATETIME']
365,DIAMOND,0,,,,['DATETIME']
366,FIRST HILL PLAZA GARAGE,0,,,,['DATETIME']
367,U-PARK,0,,,,['DATETIME']
368,DIAMOND,0,,,,['DATETIME']
369,PARKING,0,,,,['DATETIME']
370,BANK OF AMERICA - EASTLAKE AVENUE,0,,,,['DATETIME']
371,CPS - ARNOLD VALET,0,,,,['DATETIME']
372,U-PARK,0,,,,['DATETIME']
373,METRO,0,,,,['DATETIME']
374,U-PARK,0,,,,['DATETIME']
375,REPUBLIC - WOLD LOT,0,,,,['DATETIME']
376,DIAMOND,0,,,,['DATETIME']
377,WESTIN,0,,,,['DATETIME']
378,PARKING,0,,,,['DATETIME']
379,DIAMOND,0,,,,['DATETIME']
380,IPM,0,,,,['DATETIME']
381,UNITED,0,,,,['DATETIME']
382,IMPARK,0,,,,['DATETIME']
383,DIAMOND,0,,,,['DATETIME']
384,DIAMOND,0,,,,['DATETIME']
385,DIAMOND,0,,,,['DATETIME']
386,NORTHWEST HOSPITAL,0,,,,['DATETIME']
387,U-PARK,0,,,,['DATETIME']
388,U-PARK,0,,,,['DATETIME']
389,UNITED,0,,,,['DATETIME']
390,UNITED,0,,,,['DATETIME']
391,CINERAMA #81097,0,,,,['DATETIME']
392,REPUBLIC,0,,,,['DATETIME']
393,,0,,,,['DATETIME']
394,HOTEL @ OLIVE 8 - LOT,0,,,,['DATETIME']
395,MARINERS BALLPARK GARAGE,0,,,,['DATETIME']
396,IMPARK,0,,,,['DATETIME']
397,UCC,0,,,,['DATETIME']
398,STANDARD,0,,,,['DATETIME']
399,U-PARK,0,,,,['DATETIME']
400,DIAMOND,0,,,,['DATETIME']
401,KEY PARK NORTHWEST,0,,,,['DATETIME']
402,U-PARK,0,,,,['DATETIME']
403,IMPARK,0,,,,['DATETIME']
404,DIAMOND,0,,,,['DATETIME']
405,DIAMOND,0,,,,['DATETIME']
406,,0,,,,['DATETIME']
407,IMPARK,0,,,,['DATETIME']
408,CPS - INVEX GARAGE,0,,,,['DATETIME']
409,THORTON PLACE GARAGE - LOT,0,,,,['DATETIME']
410,DIAMOND,0,,,,['DATETIME']
411,REPUBLIC - LENORA LOT,0,,,,['DATETIME']
412,REPUBLIC - DESIMONE LOT,0,,,,['DATETIME']
413,UNITED,0,,,,['DATETIME']
414,DIAMOND,0,,,,['DATETIME']
415,STANDARD,0,,,,['DATETIME']
416,UNITED,0,,,,['DATETIME']
