id,applicant_id,application_date,decision_date,issue_date
815,,07/30/2015,08/27/2015,08/27/2015
816,,07/30/2015,04/14/2016,04/14/2016
817,,07/29/2015,08/27/2015,08/27/2015
818,,07/29/2015,,
819,,07/28/2015,10/05/2015,10/05/2015
820,,07/28/2015,11/30/2015,11/30/2015
821,,07/28/2015,10/26/2015,10/26/2015
822,,07/28/2015,10/20/2015,10/20/2015
823,,07/27/2015,,
824,,07/27/2015,,
825,,07/27/2015,,
826,,07/27/2015,04/18/2016,04/18/2016
827,,07/27/2015,,
828,,07/24/2015,10/26/2015,10/26/2015
829,,07/23/2015,10/05/2015,10/05/2015
830,,07/23/2015,12/17/2015,12/17/2015
831,,07/23/2015,12/14/2015,12/14/2015
832,,07/23/2015,02/19/2015,02/19/2015
833,,07/22/2015,,
834,,07/21/2015,08/17/2015,08/17/2015
835,,07/20/2015,,
836,,07/20/2015,11/09/2015,11/09/2015
837,,07/20/2015,11/09/2015,11/09/2015
838,,07/09/2015,,
839,,07/20/2015,10/08/2015,10/08/2015
840,,07/20/2015,,
