id,street,longitude,latitude,applicant_id
340,1515 LAKEVIEW BLVD E,-122.32302326,47.63310462,
341,2950 S DAKOTA ST,-122.29657061,47.56658387,
342,10319 SAND POINT WAY NE,-122.27826813,47.703529,
343,11336 20TH AVE NE,-122.30580824,47.71129031,
344,4504 LINDEN AVE N,-122.34838766,47.66165022,
345,3827 23RD AVE W,-122.38623986,47.65482313,
346,10202 RAINIER AVE S,-122.24359318,47.51140495,
347,839 NW 52ND ST,-122.36789923,47.66624647,
348,4818 PHINNEY AVE N,-122.35378305,47.66408973,
349,2508 N 50TH ST,-122.32858953,47.66519134,
350,3932 S BRANDON ST,-122.28208445,47.55360427,
351,3829 23RD AVE W,-122.38628253,47.65483374,
352,2161 HARBOR AVE SW,-122.37517913,47.58397925,
353,3480 27TH AVE W,-122.39093658,47.65140205,
354,3501 RAINIER AVE S,-122.29347773,47.57161504,
355,3639 DAYTON AVE N,-122.3526168,47.65305359,
356,152 20TH AVE E,-122.30579846,47.61988603,
357,9056 4TH AVE NW,-122.36174076,47.69584334,
358,3031 59TH AVE SW,-122.40844806,47.57672751,
359,5704 S HAWTHORN RD,-122.26228852,47.54951216,
360,2120 WAVERLY PL N,-122.34264419,47.63848962,
361,7900 35TH AVE SW,-122.37644938,47.53178739,
362,5106 S LEO ST,-122.26925644,47.5027844,
363,1803 13TH AVE,-122.31580511,47.61782102,
364,5931 EAST MARGINAL WAY S,-122.33652814,47.5485505,
365,203 W REPUBLICAN ST,-122.35971778,47.62313525,
366,110 9TH AVE N,-122.33939892,47.61915166,
367,2381 BEACON AVE S,-122.31523831,47.58174381,
368,3920 1ST AVE NE,-122.3276276,47.65443675,
369,5007 RENTON AVE S,-122.2883163,47.55637148,
370,2601 22ND AVE W,-122.38507342,47.64307372,
371,807 N 42ND ST,-122.34805403,47.6576405,
372,6185 4TH AVE S,-122.33013782,47.54561126,
373,9228 10TH AVE S,-122.31958456,47.51918444,
374,5020 35TH AVE S,-122.28880007,47.55634875,
375,4225 26TH AVE W,-122.39039155,47.65842251,
376,2401 3RD AVE,-122.34652095,47.6154329,
377,2216 NW 64TH ST,-122.38555202,47.67551513,
378,130 1ST AVE W,-122.35766888,47.61959933,
379,2605 22ND AVE W,-122.38508834,47.64322982,
380,2423 S HOLGATE ST,-122.30060683,47.58618184,
381,932 21ST AVE,-122.30451887,47.61103576,
382,1114 16TH AVE,-122.31119157,47.61206347,
383,2844 21ST AVE W,-122.38291035,47.64618102,
384,12006 40TH AVE NE,-122.28500599,47.71582458,
385,3603 35TH AVE S,-122.28919309,47.5711318,
386,3616 34TH AVE S,-122.28967623,47.57102685,
387,11202 ROOSEVELT WAY NE,-122.3174196,47.70998802,
388,1547 NW 61ST ST,-122.37837337,47.67282695,
389,706 S ORCAS ST,-122.32396424,47.55125545,
390,12 W FLORENTIA ST,-122.35826756,47.64723148,
391,1814 24TH AVE S,-122.3013459,47.58643104,
392,433 8TH AVE N,-122.34146324,47.62287309,
393,756P N 74TH ST,-122.34735443,47.6826145,
394,4609 UNION BAY PL NE,-122.29499488,47.66254948,
395,3015 18TH AVE S,-122.30916333,47.57652279,
396,906 PINE ST,-122.33180671,47.6141635,
397,3627 LINDEN AVE N,-122.34908047,47.65195037,
398,1300 DEXTER AVE N,-122.34194796,47.63116139,
399,11302 MERIDIAN AVE N,-122.33351766,47.71071076,
400,1711 BOREN AVE,-122.3314754,47.61570566,
401,1600 9TH AVE,-122.33180671,47.6141635,
402,1215 E UNION ST,-122.31580199,47.61211121,
403,2511 NW 80TH ST,-122.38906509,47.68644125,
404,920 OLIVE WAY,-122.33234036,47.61503782,
405,2351 NW 65TH ST,-122.38660235,47.67576342,
406,12115 12TH AVE NW,-122.37364413,47.71780066,
407,6901 M L KING JR WAY S,-122.28327332,47.54025657,
408,4003 45TH AVE SW,-122.38971669,47.56825783,
409,4809 DELRIDGE WAY SW,-122.36322901,47.5589371,
410,4027 FREMONT AVE N,-122.35043068,47.65621774,
411,4023 FREMONT AVE N,-122.35039114,47.65611183,
412,3629 LINDEN AVE N,-122.34907659,47.65209566,
413,1733 26TH AVE S,-122.29935716,47.58729776,
414,1706 ALKI AVE SW,-122.39540778,47.58794707,
415,725 BELMONT AVE E,-122.32486349,47.62569697,
416,1201 AMGEN CT W,-122.37476567,47.62951836,
417,722 SUMMIT AVE E,-122.32509165,47.6257543,
418,2539 PERKINS LN W,-122.41573084,47.64145506,
419,1628 DEXTER AVE N,-122.34207451,47.63386687,
420,1908 24TH AVE S,-122.30137305,47.58605747,
421,7717 HIGHLAND PARK WAY SW,-122.3473748,47.5335102,
422,6501 1ST AVE S,-122.33458589,47.54351607,
423,4700 BROOKLYN AVE NE,-122.31388208,47.66346713,
424,2531 13TH AVE S,-122.31646611,47.58006752,
425,2533 13TH AVE S,-122.31627671,47.58006862,
426,426 26TH AVE S,-122.29845569,47.59846709,
427,1516 NW 61ST ST,-122.3771465,47.67329863,
428,2603 E THOMAS ST,-122.29833921,47.62119559,
429,12702 35TH AVE NE,-122.28994832,47.72131797,
430,1751 VALENTINE PL S,-122.30756336,47.58761567,
431,1138 N 90TH ST,-122.34274964,47.69448898,
432,417 NE 73RD ST,-122.32457695,47.68108615,
433,1705 NW 63RD ST,-122.37933395,47.67427105,
434,5628 FAUNTLEROY WAY SW,-122.38137309,47.55113218,
435,1830 E MERCER ST,-122.30772895,47.62458703,
436,2300 6TH AVE,-122.34212991,47.61704294,
437,515 WARD ST,-122.34681986,47.62786811,
438,5533 38TH AVE NE,-122.28714121,47.66951683,
439,944 HIAWATHA PL S,-122.30798247,47.59334005,
440,1133 24TH AVE S,-122.30165502,47.59204634,
441,1707 NW 63RD ST,-122.37932107,47.67437916,
442,1425 22ND AVE,-122.30385136,47.61377013,
443,5127 24TH AVE NE,-122.30235375,47.66670735,
444,3641 DAYTON AVE N,-122.3526168,47.65305359,
445,6504 44TH AVE SW,-122.38833793,47.54443589,
446,1027 STURGUS AVE S,-122.31387601,47.59324701,
447,722 E PIKE ST,-122.32229682,47.61438165,
448,1613 S LANE ST,-122.31089625,47.59641996,
449,1804 E SPRUCE ST,-122.30856696,47.60367608,
450,2602 14TH AVE W,-122.37455224,47.64311963,
451,2609 E THOMAS ST,-122.29807873,47.62118988,
452,121 BOREN AVE N,-122.33652543,47.61907205,
453,1760 NW 62ND ST,-122.38152893,47.67403182,
454,3017 S AUSTIN ST,-122.29267751,47.53424442,
455,2800 S ALASKA PL,-122.2967675,47.56124401,
456,1762 NW 62ND ST,-122.38169717,47.67402404,
457,8559 MARY AVE NW,-122.37576706,47.69229096,
458,9751 WOODLAWN AVE N,-122.33909906,47.70113821,
459,1717 VALENTINE PL S,-122.30762219,47.5878903,
460,6630 CARLETON AVE S,-122.32122065,47.543365,
461,7103 AURORA AVE N,-122.34553983,47.68051454,
462,632 NW 85TH ST,-122.36482363,47.69078418,
463,1906 N 143RD ST,-122.33546247,47.73260279,
464,214 20TH AVE S,-122.30593936,47.60039409,
465,1136 N 90TH ST,-122.3429437,47.69449967,
466,1427 NW 65TH ST,-122.37488219,47.67580399,
467,5917 4TH AVE S,-122.3319557,47.55009055,
468,118 27TH AVE E,-122.2970717,47.61950525,
469,114 NW CANAL ST,-122.35836485,47.65249823,
470,1942 10TH AVE W,-122.36981346,47.63717297,
471,609 FAIRVIEW AVE N,-122.33470227,47.62488719,
472,2403 BOYER AVE E,-122.31373014,47.64078161,
473,112 27TH AVE E,-122.297074,47.61939448,
474,114 16TH AVE,-122.31103284,47.60220629,
475,1001 JOHN ST,-122.33696288,47.61951134,
476,112 16TH AVE,-122.31128616,47.6021575,
477,2013 2ND AVE,-122.34254282,47.61184277,
478,730 25TH AVE S,-122.29962455,47.59585761,
479,1761 19TH AVE S,-122.30885773,47.58742545,
480,6305 49TH AVE SW,-122.39546917,47.5466116,
481,4110 FREMONT AVE N,-122.34937751,47.65702262,
482,747 BROADWAY,-122.32194221,47.60884785,
483,1115 COLUMBIA ST,-122.32283029,47.60819513,
484,10033 65TH AVE S,-122.2526827,47.51065636,
485,3640 COURTLAND PL S,-122.2867829,47.57035152,
486,3638 COURTLAND PL S,-122.28695676,47.57035529,
487,3219 CALIFORNIA AVE SW,-122.38716986,47.57505827,
488,4439 41ST AVE SW,-122.38471489,47.56362285,
489,3309 BEACON AVE S,-122.30917161,47.57371784,
490,6004 17TH AVE NW,-122.37853266,47.67265466,
491,3008 63RD AVE SW,-122.41278506,47.57799947,
492,3616 PALATINE AVE N,-122.3562956,47.65334821,
493,111 E HAMLIN ST,-122.32664502,47.64546598,
494,3747 WEST STEVENS WAY NE,-122.30987523,47.65235247,
495,2037 NW 65TH ST,-122.38338929,47.67570591,
