id,group
947,CONSTRUCTION NOISE
948,TENANT RELOCATION ASSIST ORD
949,VACANT BUILDING
950,CONSTRUCTION NOISE
951,ZONING
952,ZONING
953,SITE
954,ZONING
955,ZONING
956,ZONING
957,ZONING
958,BUILDING
959,BUILDING
960,HOUSING
961,SITE
962,SITE
963,SITE
964,SITE
965,HOUSING
966,BUILDING
967,VACANT BUILDING
968,ZONING
969,TENANT RELOCATION ASSIST ORD
970,WEEDS AND VEGETATION
971,BUILDING
972,ZONING
973,HOUSING
974,BUILDING
975,ZONING
976,BUILDING
977,VACANT BUILDING
978,TENANT RELOCATION ASSIST ORD
979,JUST CAUSE EVICTION
980,JUST CAUSE EVICTION
981,ZONING
982,SITE
983,ZONING
984,SITE
985,SIGNS
986,SITE
987,WEEDS AND VEGETATION
988,ZONING
989,BUILDING
990,TENANT RELOCATION ASSIST ORD
991,TENANT RELOCATION ASSIST ORD
992,ZONING
993,VACANT BUILDING
994,ZONING
995,ZONING
996,VACANT BUILDING
997,VACANT BUILDING
998,ZONING
999,VACANT BUILDING
1000,HOUSING
1001,HOUSING
1002,ZONING
1003,ZONING
1004,ZONING
1005,ZONING
1006,ZONING
1007,ZONING
1008,ZONING
1009,ZONING
1010,ZONING
1011,ZONING
1012,ZONING
1013,ZONING
1014,ZONING
1015,ZONING
1016,ELECTRICAL
1017,ZONING
1018,BUILDING
1019,ZONING
1020,VACANT BUILDING
1021,ZONING
1022,VACANT BUILDING
1023,ZONING
1024,WEEDS AND VEGETATION
1025,ZONING
1026,TENANT RELOCATION ASSIST ORD
1027,HOUSING
1028,HOUSING
1029,ZONING
1030,VACANT BUILDING
1031,VACANT BUILDING
1032,VACANT BUILDING
1033,HOUSING
1034,VACANT BUILDING
1035,HOUSING
1036,VACANT BUILDING
1037,ZONING
1038,ZONING
1039,ZONING
1040,HOUSING
1041,ZONING
1042,ZONING
1043,ZONING
1044,WEEDS AND VEGETATION
1045,ZONING
1046,BUILDING
1047,WEEDS AND VEGETATION
1048,BUILDING
1049,WEEDS AND VEGETATION
1050,ZONING
1051,HOUSING
1052,ZONING
1053,ZONING
1054,ZONING
1055,ELECTRICAL
1056,ELECTRICAL
1057,ZONING
1058,ELECTRICAL
1059,ELECTRICAL
1060,BUILDING
1061,BUILDING
1062,BUILDING
1063,SITE
1064,HOUSING
1065,HOUSING
1066,HOUSING
1067,ZONING
1068,HOUSING
1069,HOUSING
1070,HOUSING
1071,ZONING
1072,VACANT BUILDING
1073,BUILDING
1074,TENANT RELOCATION ASSIST ORD
1075,ZONING
1076,WEEDS AND VEGETATION
1077,BUILDING
1078,ZONING
1079,HOUSING
1080,BUILDING
1081,ZONING
1082,ZONING
1083,ZONING
1084,HOUSING
1085,HOUSING
1086,HOUSING
1087,SITE
1088,TENANT RELOCATION ASSIST ORD
1089,HOUSING
1090,JUST CAUSE EVICTION
1091,ZONING
1092,HOUSING
1093,SITE
1094,WEEDS AND VEGETATION
1095,ZONING
1096,HOUSING
1097,HOUSING
1098,ZONING
1099,
1100,BUILDING
1101,HOUSING
1102,SIGNS
1103,ZONING
1104,ZONING
1105,ZONING
1106,BUILDING
1107,ZONING
1108,BUILDING
1109,ZONING
1110,HOUSING
1111,TENANT RELOCATION ASSIST ORD
1112,ZONING
1113,TENANT RELOCATION ASSIST ORD
1114,ZONING
1115,ZONING
1116,WEEDS AND VEGETATION
1117,WEEDS AND VEGETATION
1118,TENANT RELOCATION ASSIST ORD
1119,SIGNS
1120,ZONING
1121,TENANT RELOCATION ASSIST ORD
1122,ZONING
1123,HOUSING
1124,TENANT RELOCATION ASSIST ORD
1125,ZONING
1126,ZONING
1127,HOUSING
1128,HOUSING
1129,ZONING
1130,ZONING
1131,ZONING
1132,WEEDS AND VEGETATION
1133,ZONING
1134,JUST CAUSE EVICTION
1135,ZONING
1136,ZONING
1137,SITE
1138,SITE
1139,ZONING
1140,ZONING
1141,SITE
1142,HOUSING
1143,TENANT RELOCATION ASSIST ORD
1144,JUST CAUSE EVICTION
1145,JUST CAUSE EVICTION
1146,JUST CAUSE EVICTION
1147,JUST CAUSE EVICTION
1148,JUST CAUSE EVICTION
1149,TENANT RELOCATION ASSIST ORD
1150,TENANT RELOCATION ASSIST ORD
1151,TENANT RELOCATION ASSIST ORD
1152,WEEDS AND VEGETATION
1153,WEEDS AND VEGETATION
1154,HOUSING
1155,WEEDS AND VEGETATION
1156,WEEDS AND VEGETATION
1157,WEEDS AND VEGETATION
1158,ZONING
1159,BUILDING
1160,ZONING
1161,TENANT RELOCATION ASSIST ORD
1162,WEEDS AND VEGETATION
1163,HOUSING
1164,TENANT RELOCATION ASSIST ORD
1165,WEEDS AND VEGETATION
1166,HOUSING
1167,TENANT RELOCATION ASSIST ORD
1168,TENANT RELOCATION ASSIST ORD
1169,ZONING
1170,TENANT RELOCATION ASSIST ORD
1171,SITE
1172,ZONING
1173,ZONING
1174,TENANT RELOCATION ASSIST ORD
1175,TENANT RELOCATION ASSIST ORD
1176,VACANT BUILDING
1177,BUILDING
1178,BUILDING
1179,VACANT BUILDING
1180,HOUSING
1181,VACANT BUILDING
1182,ZONING
1183,VACANT BUILDING
1184,ZONING
1185,ZONING
1186,VACANT BUILDING
1187,HOUSING
1188,ZONING
1189,ZONING
1190,ZONING
1191,ZONING
1192,SITE
1193,ZONING
1194,HOUSING
1195,ZONING
1196,VACANT BUILDING
1197,SITE
1198,CONSTRUCTION NOISE
1199,VACANT BUILDING
1200,HOUSING
1201,ZONING
1202,VACANT BUILDING
1203,ZONING
1204,VACANT BUILDING
1205,HOUSING
1206,WEEDS AND VEGETATION
1207,ZONING
1208,ZONING
1209,ZONING
1210,ZONING
1211,BUILDING
1212,ZONING
1213,HOUSING
1214,ELECTRICAL
1215,SITE
1216,WEEDS AND VEGETATION
1217,ZONING
1218,ZONING
1219,ZONING
1220,TENANT RELOCATION ASSIST ORD
1221,ZONING
1222,ZONING
1223,ZONING
1224,WEEDS AND VEGETATION
1225,WEEDS AND VEGETATION
1226,
1227,BUILDING
1228,WEEDS AND VEGETATION
1229,HOUSING
1230,SIGNS
1231,BUILDING
1232,SIGNS
1233,ZONING
1234,SIGNS
1235,JUST CAUSE EVICTION
1236,BUILDING
1237,TENANT RELOCATION ASSIST ORD
1238,ZONING
1239,BUILDING
1240,HOUSING
1241,HOUSING
1242,BUILDING
1243,BUILDING
1244,JUST CAUSE EVICTION
1245,WEEDS AND VEGETATION
1246,
1247,
1248,ZONING
1249,ZONING
1250,HOUSING
1251,HOUSING
1252,ZONING
1253,HOUSING
1254,ZONING
1255,VACANT BUILDING
1256,ZONING
1257,ZONING
1258,ZONING
1259,HOUSING
1260,ZONING
1261,ZONING
1262,
1263,TENANT RELOCATION ASSIST ORD
1264,JUST CAUSE EVICTION
1265,SITE
1266,
1267,HOUSING
1268,ZONING
1269,
1270,ZONING
1271,
1272,BUILDING
1273,VACANT BUILDING
1274,ZONING
1275,VACANT BUILDING
1276,WEEDS AND VEGETATION
1277,HOUSING
1278,BUILDING
1279,VACANT BUILDING
1280,VACANT BUILDING
1281,VACANT BUILDING
1282,HOUSING
1283,JUST CAUSE EVICTION
1284,
1285,
1286,ZONING
1287,BUILDING
1288,CONSTRUCTION NOISE
1289,TENANT RELOCATION ASSIST ORD
1290,ZONING
1291,ZONING
1292,BUILDING
1293,BUILDING
1294,SITE
1295,
1296,ZONING
1297,WEEDS AND VEGETATION
1298,VACANT BUILDING
1299,HOUSING
1300,WEEDS AND VEGETATION
1301,WEEDS AND VEGETATION
1302,JUST CAUSE EVICTION
1303,WEEDS AND VEGETATION
1304,WEEDS AND VEGETATION
1305,WEEDS AND VEGETATION
1306,WEEDS AND VEGETATION
1307,WEEDS AND VEGETATION
1308,WEEDS AND VEGETATION
1309,WEEDS AND VEGETATION
1310,HOUSING
1311,BUILDING
1312,ZONING
1313,VACANT BUILDING
1314,VACANT BUILDING
1315,HOUSING
1316,ZONING
1317,ZONING
1318,ZONING
1319,ZONING
1320,ZONING
1321,ZONING
1322,ZONING
1323,HOUSING
1324,BUILDING
1325,BUILDING
1326,ZONING
1327,BUILDING
1328,JUST CAUSE EVICTION
1329,
1330,ZONING
1331,ZONING
1332,HOUSING
1333,SIGNS
1334,ZONING
1335,BUILDING
1336,ZONING
1337,HOUSING
1338,WEEDS AND VEGETATION
1339,BUILDING
1340,HOUSING
1341,
1342,ZONING
1343,BUILDING
1344,BUILDING
1345,CONSTRUCTION NOISE
1346,WEEDS AND VEGETATION
1347,BUILDING
1348,ZONING
1349,BUILDING
1350,ZONING
