id,Action Type,Work Type
847,ALTER,Plan Review
848,ADD/ALT,No plan review
849,ALTER,Plan Review
850,ADD/ALT,Plan Review
851,ADD/ALT,No plan review
852,ADD/ALT,No plan review
853,ALTER,Plan Review
854,ADD/ALT,No plan review
855,ADD/ALT,No plan review
856,DEMOLITION,No plan review
857,NEW,Plan Review
858,DEMOLITION,No plan review
859,DEMOLITION,No plan review
860,NEW,Plan Review
861,TREE/VEGETATION MAINT/RESTORE,No plan review
862,NEW,Plan Review
863,DEMOLITION,Plan Review
864,ADD/ALT,No plan review
865,ADD/ALT,Plan Review
866,ADD/ALT,No plan review
867,ADD/ALT,Plan Review
868,ADD/ALT,No plan review
869,ADD/ALT,No plan review
870,ADD/ALT,Plan Review
871,DEMOLITION,No plan review
872,ADD/ALT,Plan Review
873,ADD/ALT,No plan review
874,ADD/ALT,Plan Review
875,NEW,Plan Review
876,ADD/ALT,Plan Review
877,ADD/ALT,Plan Review
878,ADD/ALT,Plan Review
879,ADD/ALT,Plan Review
880,ADD/ALT,No plan review
881,ADD/ALT,Plan Review
882,ADD/ALT,Plan Review
883,ADD/ALT,Plan Review
884,ADD/ALT,Plan Review
885,ADD/ALT,No plan review
886,ADD/ALT,Plan Review
887,NO CONSTRUCTION,Plan Review
888,ADD/ALT,No plan review
889,ADD/ALT,No plan review
890,ADD/ALT,No plan review
891,ADD/ALT,No plan review
892,ADD/ALT,No plan review
893,ADD/ALT,Plan Review
894,,Plan Review
895,ADD/ALT,Plan Review
896,DEMOLITION,Plan Review
897,ADD/ALT,Plan Review
898,ADD/ALT,Plan Review
899,NEW,Plan Review
900,ADD/ALT,Plan Review
901,ADD/ALT,Plan Review
902,ADD/ALT,Plan Review
903,ADD/ALT,Plan Review
904,ALTER,Plan Review
905,ALTER,Plan Review
906,ADD/ALT,Plan Review
907,NEW,No plan review
908,ADD/ALT,Plan Review
909,ADD/ALT,Plan Review
910,ADD/ALT,No plan review
911,ADD/ALT,Plan Review
912,ADD/ALT,Plan Review
913,ADD/ALT,No plan review
914,NEW,Plan Review
915,DEMOLITION,No plan review
916,NEW,Plan Review
917,ADD/ALT,Plan Review
918,DEMOLITION,No plan review
919,ADD/ALT,No plan review
920,NO CONSTRUCTION,No plan review
921,ADD/ALT,Plan Review
922,ADD/ALT,No plan review
923,DEMOLITION,No plan review
924,ADD/ALT,No plan review
925,ADD/ALT,No plan review
926,ADD/ALT,Plan Review
927,ADD/ALT,Plan Review
928,ADD/ALT,Plan Review
929,ADD/ALT,No plan review
