id,Action Type,Work Type
9295,NEW,Plan Review
9296,ADD/ALT,No plan review
9297,ADD/ALT,No plan review
9298,ADD/ALT,No plan review
9299,CURB CUT,Plan Review
9300,ADD/ALT,Plan Review
9301,ADD/ALT,No plan review
9302,DEMOLITION,No plan review
9303,DEMOLITION,No plan review
9304,ADD/ALT,No plan review
9305,ADD/ALT,No plan review
9306,ADD/ALT,No plan review
9307,ADD/ALT,No plan review
9308,ADD/ALT,No plan review
9309,ADD/ALT,No plan review
9310,ADD/ALT,Plan Review
9311,ADD/ALT,Plan Review
9312,ADD/ALT,No plan review
9313,ADD/ALT,Plan Review
9314,ADD/ALT,Plan Review
9315,ALTER,Plan Review
9316,ALTER,Plan Review
9317,ADD/ALT,No plan review
9318,ADD/ALT,No plan review
9319,ADD/ALT,No plan review
9320,ADD/ALT,No plan review
9321,ALTER,Plan Review
9322,DEMOLITION,No plan review
9323,ADD/ALT,No plan review
9324,ADD/ALT,No plan review
9325,DEMOLITION,No plan review
9326,ADD/ALT,No plan review
9327,ADD/ALT,Plan Review
9328,ADD/ALT,Plan Review
9329,NEW,Plan Review
9330,ADD/ALT,Plan Review
9331,NEW,Plan Review
9332,ADD/ALT,Plan Review
9333,,Plan Review
9334,ADD/ALT,Plan Review
9335,ADD/ALT,Plan Review
9336,ADD/ALT,Plan Review
9337,NEW,Plan Review
9338,DEMOLITION,No plan review
9339,ADD/ALT,No plan review
9340,NEW,Plan Review
9341,ADD/ALT,No plan review
9342,SHORELINE EXEMPTION ONLY,Plan Review
9343,DEMOLITION,No plan review
9344,ADD/ALT,No plan review
9345,ADD/ALT,No plan review
9346,ADD/ALT,No plan review
9347,NEW,Plan Review
9348,DEMOLITION,No plan review
9349,DEMOLITION,No plan review
9350,NEW,Plan Review
9351,NEW,Plan Review
9352,NEW,Plan Review
9353,NEW,Plan Review
9354,DEMOLITION,No plan review
9355,NEW,Plan Review
9356,ADD/ALT,No plan review
9357,ALTER,Plan Review
9358,ADD/ALT,No plan review
9359,ADD/ALT,No plan review
9360,ADD/ALT,No plan review
9361,ADD/ALT,No plan review
9362,ADD/ALT,No plan review
9363,DEMOLITION,No plan review
9364,ADD/ALT,No plan review
9365,,Plan Review
9366,NO CONSTRUCTION,No plan review
9367,DEMOLITION,No plan review
9368,DEMOLITION,No plan review
9369,NEW,Plan Review
9370,DEMOLITION,No plan review
9371,NEW,Plan Review
9372,ADD/ALT,Plan Review
9373,DEMOLITION,No plan review
9374,ADD/ALT,Plan Review
9375,NEW,Plan Review
9376,DEMOLITION,No plan review
9377,ADD/ALT,Plan Review
9378,ADD/ALT,Plan Review
9379,ADD/ALT,Plan Review
9380,ADD/ALT,Plan Review
9381,NEW,Plan Review
9382,NEW,Plan Review
9383,ADD/ALT,Plan Review
9384,DEMOLITION,Plan Review
9385,ADD/ALT,No plan review
9386,ADD/ALT,Plan Review
9387,ADD/ALT,Plan Review
9388,ADD/ALT,No plan review
9389,ADD/ALT,Plan Review
9390,ADD/ALT,No plan review
9391,ADD/ALT,No plan review
9392,ADD/ALT,No plan review
9393,DEMOLITION,No plan review
9394,ADD/ALT,No plan review
9395,ADD/ALT,No plan review
9396,TREE/VEGETATION MAINT/RESTORE,No plan review
9397,NEW,Plan Review
9398,ADD/ALT,No plan review
9399,ADD/ALT,Plan Review
9400,ADD/ALT,No plan review
9401,ADD/ALT,No plan review
9402,ADD/ALT,No plan review
9403,ADD/ALT,No plan review
9404,NEW,Plan Review
9405,DEMOLITION,Plan Review
9406,ADD/ALT,Plan Review
9407,ADD/ALT,No plan review
9408,NEW,Plan Review
9409,NEW,Plan Review
9410,NEW,Plan Review
9411,ADD/ALT,No plan review
9412,,Plan Review
9413,ADD/ALT,Plan Review
9414,ADD/ALT,Plan Review
9415,ADD/ALT,No plan review
9416,ADD/ALT,No plan review
9417,ADD/ALT,No plan review
9418,TREE/VEGETATION MAINT/RESTORE,No plan review
9419,ADD/ALT,Plan Review
9420,ADD/ALT,No plan review
9421,ADD/ALT,No plan review
9422,DEMOLITION,No plan review
9423,NEW,Plan Review
9424,ALTER,Plan Review
9425,TREE/VEGETATION MAINT/RESTORE,No plan review
9426,ADD/ALT,No plan review
9427,ADD/ALT,No plan review
9428,,Plan Review
9429,ADD/ALT,No plan review
9430,ALTER,Plan Review
9431,TREE/VEGETATION MAINT/RESTORE,No plan review
9432,ADD/ALT,No plan review
9433,DEMOLITION,No plan review
9434,ADD/ALT,No plan review
9435,DEMOLITION,Plan Review
9436,DEMOLITION,No plan review
9437,NEW,Plan Review
9438,ADD/ALT,Plan Review
9439,ADD/ALT,Plan Review
9440,ADD/ALT,Plan Review
9441,NEW,Plan Review
9442,NEW,Plan Review
9443,NEW,Plan Review
9444,ADD/ALT,Plan Review
9445,ADD/ALT,No plan review
9446,ADD/ALT,Plan Review
9447,ADD/ALT,No plan review
9448,ADD/ALT,No plan review
9449,ALTER,Plan Review
9450,ADD/ALT,Plan Review
9451,ADD/ALT,No plan review
9452,ADD/ALT,No plan review
9453,NEW,Plan Review
9454,DEMOLITION,No plan review
9455,ADD/ALT,No plan review
9456,DEMOLITION,No plan review
9457,ADD/ALT,Plan Review
9458,ADD/ALT,Plan Review
9459,DEMOLITION,Plan Review
9460,ADD/ALT,Plan Review
9461,ADD/ALT,Plan Review
9462,ADD/ALT,Plan Review
9463,ADD/ALT,Plan Review
9464,ADD/ALT,Plan Review
9465,ADD/ALT,Plan Review
9466,NEW,Plan Review
9467,NEW,Plan Review
9468,NEW,Plan Review
9469,NEW,Plan Review
9470,NEW,Plan Review
9471,ADD/ALT,Plan Review
9472,ADD/ALT,Plan Review
9473,NEW,Plan Review
9474,NEW,Plan Review
9475,ADD/ALT,Plan Review
9476,,Plan Review
9477,NEW,Plan Review
9478,ADD/ALT,Plan Review
9479,ADD/ALT,No plan review
9480,ADD/ALT,Plan Review
9481,SHORELINE EXEMPTION ONLY,Plan Review
9482,SHORELINE EXEMPTION ONLY,Plan Review
9483,ALTER,Plan Review
9484,SHORELINE EXEMPTION ONLY,Plan Review
9485,SHORELINE EXEMPTION ONLY,Plan Review
9486,SHORELINE EXEMPTION ONLY,Plan Review
9487,ALTER,Plan Review
9488,ADD/ALT,No plan review
9489,ADD/ALT,Plan Review
9490,ADD/ALT,No plan review
9491,TREE/VEGETATION MAINT/RESTORE,No plan review
9492,ADD/ALT,No plan review
9493,NEW,Plan Review
9494,ADD/ALT,No plan review
9495,ADD/ALT,No plan review
9496,ADD/ALT,No plan review
9497,ADD/ALT,No plan review
9498,ADD/ALT,No plan review
9499,ADD/ALT,No plan review
9500,ADD/ALT,No plan review
9501,ADD/ALT,Plan Review
9502,ADD/ALT,Plan Review
9503,ADD/ALT,Plan Review
9504,ADD/ALT,Plan Review
9505,ADD/ALT,Plan Review
9506,ADD/ALT,Plan Review
9507,ADD/ALT,Plan Review
9508,ADD/ALT,Plan Review
9509,ALTER,Plan Review
9510,NEW,Plan Review
9511,DEMOLITION,No plan review
9512,ADD/ALT,No plan review
9513,ADD/ALT,No plan review
9514,ADD/ALT,Plan Review
9515,ADD/ALT,No plan review
9516,ADD/ALT,No plan review
9517,ADD/ALT,Plan Review
9518,ADD/ALT,No plan review
9519,ADD/ALT,No plan review
9520,ADD/ALT,Plan Review
9521,NEW,Plan Review
9522,SHORELINE EXEMPTION ONLY,Plan Review
9523,ADD/ALT,No plan review
9524,NEW,Plan Review
9525,ADD/ALT,Plan Review
9526,ADD/ALT,No plan review
9527,ADD/ALT,Plan Review
9528,ADD/ALT,No plan review
9529,ALTER,Plan Review
9530,DEMOLITION,No plan review
9531,NEW,Plan Review
9532,NEW,Plan Review
9533,ADD/ALT,Plan Review
9534,ADD/ALT,Plan Review
9535,NEW,Plan Review
9536,DEMOLITION,Plan Review
9537,NEW,Plan Review
9538,DEMOLITION,No plan review
9539,NEW,Plan Review
9540,NEW,Plan Review
9541,DEMOLITION,No plan review
9542,NEW,Plan Review
9543,ADD/ALT,Plan Review
9544,ADD/ALT,Plan Review
9545,NEW,Plan Review
9546,TREE/VEGETATION MAINT/RESTORE,No plan review
9547,ADD/ALT,No plan review
9548,ADD/ALT,No plan review
9549,ADD/ALT,Plan Review
9550,NEW,Plan Review
9551,NEW,No plan review
9552,ADD/ALT,No plan review
9553,ADD/ALT,No plan review
9554,ADD/ALT,Plan Review
9555,,Plan Review
9556,ADD/ALT,No plan review
9557,DEMOLITION,No plan review
9558,ADD/ALT,Plan Review
9559,ADD/ALT,Plan Review
9560,NEW,Plan Review
9561,DEMOLITION,No plan review
9562,NEW,Plan Review
9563,NEW,Plan Review
9564,ADD/ALT,Plan Review
9565,NEW,Plan Review
9566,DEMOLITION,No plan review
9567,NEW,Plan Review
9568,NEW,Plan Review
9569,ADD/ALT,Plan Review
9570,ADD/ALT,Plan Review
9571,ADD/ALT,Plan Review
9572,ADD/ALT,Plan Review
9573,ADD/ALT,Plan Review
9574,ADD/ALT,Plan Review
9575,ADD/ALT,Plan Review
9576,ADD/ALT,Plan Review
9577,DEMOLITION,Plan Review
9578,DEMOLITION,Plan Review
9579,ADD/ALT,Plan Review
9580,ADD/ALT,Plan Review
9581,ADD/ALT,No plan review
9582,ADD/ALT,No plan review
9583,ADD/ALT,No plan review
9584,ADD/ALT,No plan review
9585,ADD/ALT,No plan review
9586,ALTER,Plan Review
9587,ADD/ALT,Plan Review
9588,ADD/ALT,No plan review
9589,DEMOLITION,No plan review
9590,ADD/ALT,No plan review
9591,ADD/ALT,No plan review
9592,ADD/ALT,No plan review
9593,ADD/ALT,No plan review
9594,ADD/ALT,No plan review
9595,ADD/ALT,No plan review
9596,ADD/ALT,No plan review
9597,ALTER,Plan Review
9598,ADD/ALT,No plan review
9599,ADD/ALT,No plan review
9600,ADD/ALT,No plan review
9601,ADD/ALT,No plan review
9602,ADD/ALT,No plan review
9603,DEMOLITION,No plan review
9604,NEW,Plan Review
9605,NEW,Plan Review
9606,ADD/ALT,Plan Review
9607,ALTER,Plan Review
9608,ADD/ALT,Plan Review
9609,ALTER,Plan Review
9610,DEMOLITION,No plan review
9611,ADD/ALT,No plan review
9612,ADD/ALT,No plan review
9613,ADD/ALT,Plan Review
9614,ALTER,Plan Review
9615,ADD/ALT,No plan review
9616,ADD/ALT,Plan Review
9617,ADD/ALT,No plan review
9618,NEW,Plan Review
9619,ADD/ALT,No plan review
9620,ALTER,Plan Review
9621,ADD/ALT,No plan review
9622,ALTER,Plan Review
9623,ALTER,Plan Review
9624,ADD/ALT,Plan Review
9625,ADD/ALT,Plan Review
9626,ADD/ALT,Plan Review
9627,NEW,Plan Review
9628,ADD/ALT,Plan Review
9629,DEMOLITION,No plan review
9630,ADD/ALT,No plan review
9631,NEW,Plan Review
9632,DEMOLITION,No plan review
9633,NEW,Plan Review
9634,DEMOLITION,Plan Review
9635,ADD/ALT,No plan review
9636,ADD/ALT,No plan review
9637,ADD/ALT,No plan review
9638,ADD/ALT,No plan review
9639,ADD/ALT,No plan review
9640,ADD/ALT,No plan review
9641,ADD/ALT,No plan review
9642,ADD/ALT,No plan review
9643,NEW,Plan Review
9644,ADD/ALT,Plan Review
9645,ADD/ALT,No plan review
9646,ADD/ALT,No plan review
9647,ADD/ALT,Plan Review
9648,ADD/ALT,Plan Review
9649,ADD/ALT,Plan Review
9650,ADD/ALT,Plan Review
9651,ADD/ALT,Plan Review
9652,GRADING,Plan Review
9653,ADD/ALT,Plan Review
9654,ADD/ALT,Plan Review
9655,ADD/ALT,Plan Review
9656,ADD/ALT,Plan Review
9657,ADD/ALT,Plan Review
9658,ADD/ALT,Plan Review
9659,ALTER,Plan Review
9660,ADD/ALT,Plan Review
9661,DEMOLITION,No plan review
9662,NEW,Plan Review
9663,TREE/VEGETATION MAINT/RESTORE,No plan review
9664,ADD/ALT,No plan review
9665,ADD/ALT,No plan review
9666,ADD/ALT,Plan Review
9667,ADD/ALT,No plan review
9668,ADD/ALT,No plan review
9669,ADD/ALT,Plan Review
9670,ADD/ALT,No plan review
9671,NEW,Plan Review
9672,ADD/ALT,No plan review
9673,ADD/ALT,No plan review
9674,ADD/ALT,No plan review
9675,ADD/ALT,Plan Review
9676,ADD/ALT,Plan Review
9677,ADD/ALT,Plan Review
9678,ADD/ALT,Plan Review
9679,ADD/ALT,Plan Review
9680,ADD/ALT,Plan Review
9681,ADD/ALT,Plan Review
9682,ADD/ALT,Plan Review
9683,TREE/VEGETATION MAINT/RESTORE,No plan review
9684,ADD/ALT,No plan review
9685,ADD/ALT,No plan review
9686,ADD/ALT,No plan review
9687,ADD/ALT,Plan Review
9688,ADD/ALT,Plan Review
9689,ADD/ALT,Plan Review
9690,NEW,Plan Review
9691,ADD/ALT,Plan Review
9692,DEMOLITION,No plan review
9693,NEW,Plan Review
9694,NEW,Plan Review
9695,NEW,Plan Review
9696,,Plan Review
9697,ADD/ALT,Plan Review
9698,ADD/ALT,Plan Review
9699,ALTER,Plan Review
9700,ADD/ALT,No plan review
9701,ADD/ALT,No plan review
9702,ADD/ALT,No plan review
9703,ADD/ALT,No plan review
9704,ADD/ALT,No plan review
9705,ADD/ALT,Plan Review
9706,ADD/ALT,No plan review
9707,ADD/ALT,No plan review
9708,ADD/ALT,No plan review
9709,ADD/ALT,No plan review
9710,ADD/ALT,Plan Review
9711,DEMOLITION,No plan review
9712,DEMOLITION,No plan review
9713,ADD/ALT,No plan review
9714,ALTER,Plan Review
9715,ADD/ALT,No plan review
9716,ALTER,Plan Review
9717,ADD/ALT,No plan review
9718,ADD/ALT,No plan review
9719,ADD/ALT,No plan review
9720,ADD/ALT,No plan review
9721,DEMOLITION,No plan review
9722,DEMOLITION,No plan review
9723,ADD/ALT,No plan review
9724,ADD/ALT,No plan review
9725,ADD/ALT,No plan review
9726,ADD/ALT,No plan review
9727,ADD/ALT,No plan review
9728,ADD/ALT,Plan Review
9729,ADD/ALT,No plan review
9730,ADD/ALT,Plan Review
9731,ADD/ALT,Plan Review
9732,ADD/ALT,No plan review
9733,ADD/ALT,No plan review
9734,ADD/ALT,No plan review
9735,ADD/ALT,No plan review
9736,DEMOLITION,No plan review
9737,ADD/ALT,Plan Review
9738,NEW,Plan Review
9739,ADD/ALT,Plan Review
9740,ADD/ALT,Plan Review
9741,GRADING,Plan Review
9742,ADD/ALT,Plan Review
9743,ADD/ALT,Plan Review
9744,,Plan Review
9745,ADD/ALT,Plan Review
9746,ADD/ALT,Plan Review
9747,ADD/ALT,Plan Review
9748,ADD/ALT,Plan Review
9749,ALTER,Plan Review
9750,ALTER,Plan Review
9751,ALTER,Plan Review
9752,TREE/VEGETATION MAINT/RESTORE,No plan review
9753,TREE/VEGETATION MAINT/RESTORE,No plan review
9754,ADD/ALT,No plan review
9755,ADD/ALT,Plan Review
9756,TREE/VEGETATION MAINT/RESTORE,No plan review
9757,ADD/ALT,Plan Review
9758,NEW,Plan Review
9759,ADD/ALT,No plan review
9760,DEMOLITION,No plan review
9761,ADD/ALT,Plan Review
9762,ADD/ALT,Plan Review
9763,ADD/ALT,Plan Review
9764,ADD/ALT,No plan review
9765,DEMOLITION,No plan review
9766,NEW,Plan Review
9767,ADD/ALT,No plan review
9768,DEMOLITION,No plan review
9769,ADD/ALT,No plan review
9770,ADD/ALT,No plan review
9771,ADD/ALT,Plan Review
9772,ADD/ALT,No plan review
9773,ADD/ALT,No plan review
9774,ADD/ALT,No plan review
9775,ADD/ALT,No plan review
9776,NEW,Plan Review
9777,ADD/ALT,Plan Review
9778,NEW,Plan Review
9779,NEW,Plan Review
9780,ADD/ALT,Plan Review
9781,ADD/ALT,Plan Review
9782,TREE/VEGETATION MAINT/RESTORE,No plan review
9783,DEMOLITION,No plan review
9784,DEMOLITION,No plan review
9785,NEW,Plan Review
9786,ADD/ALT,Plan Review
9787,NEW,Plan Review
9788,NEW,Plan Review
9789,TREE/VEGETATION MAINT/RESTORE,No plan review
9790,NEW,Plan Review
9791,NEW,Plan Review
9792,,Plan Review
9793,DEMOLITION,No plan review
9794,ADD/ALT,No plan review
9795,TREE/VEGETATION MAINT/RESTORE,No plan review
9796,ADD/ALT,No plan review
9797,ADD/ALT,No plan review
9798,ADD/ALT,Plan Review
9799,DEMOLITION,No plan review
9800,DEMOLITION,No plan review
9801,ADD/ALT,Plan Review
9802,NEW,Plan Review
9803,ADD/ALT,Plan Review
9804,ADD/ALT,Plan Review
9805,NEW,Plan Review
9806,ADD/ALT,Plan Review
9807,ADD/ALT,Plan Review
9808,DECONSTRUCTION,Plan Review
9809,ADD/ALT,Plan Review
9810,ADD/ALT,Plan Review
9811,ADD/ALT,Plan Review
9812,ADD/ALT,Plan Review
9813,ADD/ALT,Plan Review
9814,ADD/ALT,Plan Review
9815,ADD/ALT,Plan Review
9816,DEMOLITION,No plan review
9817,ADD/ALT,Plan Review
9818,ADD/ALT,Plan Review
9819,NEW,Plan Review
9820,ADD/ALT,No plan review
9821,ADD/ALT,Plan Review
9822,ADD/ALT,No plan review
9823,ALTER,Plan Review
9824,DEMOLITION,No plan review
9825,NEW,Plan Review
9826,NEW,Plan Review
9827,NEW,Plan Review
9828,ALTER,Plan Review
9829,ADD/ALT,Plan Review
9830,ADD/ALT,Plan Review
9831,ADD/ALT,Plan Review
9832,NO CONSTRUCTION,Plan Review
9833,ADD/ALT,Plan Review
9834,ADD/ALT,Plan Review
9835,ADD/ALT,Plan Review
9836,ADD/ALT,No plan review
9837,NEW,Plan Review
9838,NEW,Plan Review
9839,NEW,Plan Review
9840,ADD/ALT,Plan Review
9841,NEW,Plan Review
9842,ADD/ALT,No plan review
9843,ADD/ALT,Plan Review
9844,ALTER,Plan Review
9845,ADD/ALT,No plan review
9846,ADD/ALT,Plan Review
9847,ADD/ALT,No plan review
9848,ADD/ALT,No plan review
9849,ADD/ALT,No plan review
9850,ADD/ALT,No plan review
9851,ADD/ALT,No plan review
9852,ADD/ALT,No plan review
9853,ADD/ALT,Plan Review
9854,ADD/ALT,No plan review
9855,NEW,Plan Review
9856,ADD/ALT,No plan review
9857,ADD/ALT,No plan review
9858,ADD/ALT,Plan Review
9859,ADD/ALT,Plan Review
9860,DEMOLITION,No plan review
9861,TREE/VEGETATION MAINT/RESTORE,No plan review
9862,ADD/ALT,No plan review
9863,ADD/ALT,No plan review
9864,ADD/ALT,No plan review
9865,NEW,Plan Review
9866,NEW,Plan Review
9867,DEMOLITION,No plan review
9868,ADD/ALT,Plan Review
9869,ADD/ALT,Plan Review
9870,ADD/ALT,No plan review
9871,ADD/ALT,Plan Review
9872,ADD/ALT,No plan review
9873,ADD/ALT,No plan review
9874,ADD/ALT,No plan review
9875,ADD/ALT,No plan review
9876,ADD/ALT,No plan review
9877,ADD/ALT,No plan review
9878,ADD/ALT,No plan review
9879,DEMOLITION,No plan review
9880,DEMOLITION,No plan review
9881,ADD/ALT,No plan review
9882,ADD/ALT,Plan Review
9883,ADD/ALT,No plan review
9884,ADD/ALT,Plan Review
9885,ADD/ALT,No plan review
9886,ADD/ALT,Plan Review
9887,NEW,No plan review
9888,NEW,Plan Review
9889,ADD/ALT,Plan Review
9890,NEW,Plan Review
9891,ADD/ALT,No plan review
9892,NEW,Plan Review
9893,NEW,Plan Review
9894,NEW,Plan Review
9895,NEW,Plan Review
9896,DEMOLITION,No plan review
9897,NEW,Plan Review
9898,NEW,Plan Review
9899,ADD/ALT,No plan review
9900,DEMOLITION,No plan review
9901,ALTER,Plan Review
9902,ALTER,Plan Review
9903,DEMOLITION,No plan review
9904,GRADING,Plan Review
9905,DEMOLITION,Plan Review
9906,NEW,Plan Review
9907,ADD/ALT,Plan Review
9908,ADD/ALT,Plan Review
9909,NEW,Plan Review
9910,ADD/ALT,Plan Review
9911,ADD/ALT,Plan Review
9912,ADD/ALT,Plan Review
9913,ADD/ALT,Plan Review
9914,ADD/ALT,Plan Review
9915,ADD/ALT,Plan Review
9916,NEW,Plan Review
9917,DEMOLITION,No plan review
9918,NEW,Plan Review
9919,SHORELINE EXEMPTION ONLY,Plan Review
9920,DEMOLITION,No plan review
9921,ADD/ALT,Plan Review
9922,ADD/ALT,Plan Review
9923,ADD/ALT,Plan Review
9924,DEMOLITION,No plan review
9925,GRADING,Plan Review
9926,ADD/ALT,No plan review
9927,ADD/ALT,No plan review
9928,ADD/ALT,No plan review
9929,ADD/ALT,No plan review
9930,NEW,Plan Review
9931,NEW,Plan Review
9932,DEMOLITION,No plan review
9933,NEW,Plan Review
9934,ADD/ALT,No plan review
9935,ADD/ALT,No plan review
9936,ALTER,Plan Review
9937,ADD/ALT,Plan Review
9938,ADD/ALT,No plan review
9939,ADD/ALT,Plan Review
9940,DEMOLITION,Plan Review
9941,ADD/ALT,No plan review
9942,ADD/ALT,No plan review
9943,ADD/ALT,No plan review
9944,ADD/ALT,Plan Review
9945,ADD/ALT,No plan review
9946,ADD/ALT,No plan review
9947,DEMOLITION,No plan review
9948,ADD/ALT,Plan Review
9949,,Plan Review
9950,NEW,Plan Review
9951,ADD/ALT,Plan Review
9952,ADD/ALT,Plan Review
9953,ADD/ALT,Plan Review
9954,ADD/ALT,Plan Review
9955,ADD/ALT,No plan review
9956,ADD/ALT,No plan review
9957,ADD/ALT,No plan review
9958,NO CONSTRUCTION,Plan Review
9959,ADD/ALT,No plan review
9960,ADD/ALT,No plan review
9961,ADD/ALT,No plan review
9962,ADD/ALT,Plan Review
9963,ADD/ALT,No plan review
9964,ADD/ALT,Plan Review
9965,ALTER,Plan Review
9966,ADD/ALT,No plan review
9967,ADD/ALT,Plan Review
9968,ADD/ALT,Plan Review
9969,ADD/ALT,Plan Review
9970,NEW,Plan Review
9971,NEW,Plan Review
9972,NEW,Plan Review
9973,ADD/ALT,Plan Review
9974,ADD/ALT,Plan Review
9975,ADD/ALT,Plan Review
9976,ADD/ALT,Plan Review
9977,ADD/ALT,Plan Review
9978,ADD/ALT,Plan Review
9979,ADD/ALT,Plan Review
9980,ADD/ALT,Plan Review
9981,,Plan Review
9982,NEW,Plan Review
9983,ADD/ALT,Plan Review
9984,ADD/ALT,Plan Review
9985,ADD/ALT,No plan review
9986,DEMOLITION,Plan Review
9987,ADD/ALT,No plan review
9988,ADD/ALT,No plan review
9989,ADD/ALT,No plan review
9990,DEMOLITION,No plan review
9991,ADD/ALT,No plan review
9992,ADD/ALT,No plan review
9993,ADD/ALT,Plan Review
9994,ADD/ALT,No plan review
9995,ADD/ALT,Plan Review
9996,ADD/ALT,No plan review
9997,TEMP,Plan Review
9998,DEMOLITION,No plan review
9999,ADD/ALT,No plan review
10000,ADD/ALT,No plan review
10001,ADD/ALT,Plan Review
10002,ADD/ALT,No plan review
10003,ADD/ALT,Plan Review
10004,ADD/ALT,Plan Review
10005,ADD/ALT,No plan review
10006,ADD/ALT,Plan Review
10007,ADD/ALT,Plan Review
10008,ADD/ALT,No plan review
10009,DEMOLITION,No plan review
10010,SHORELINE EXEMPTION ONLY,Plan Review
10011,ADD/ALT,No plan review
10012,ADD/ALT,No plan review
10013,ADD/ALT,No plan review
10014,ADD/ALT,No plan review
10015,ADD/ALT,No plan review
10016,DEMOLITION,No plan review
10017,ADD/ALT,No plan review
10018,DEMOLITION,No plan review
10019,ADD/ALT,Plan Review
10020,NEW,Plan Review
10021,ADD/ALT,Plan Review
10022,NEW,Plan Review
10023,ADD/ALT,Plan Review
10024,ADD/ALT,Plan Review
10025,ADD/ALT,Plan Review
10026,DEMOLITION,No plan review
10027,ADD/ALT,Plan Review
10028,DEMOLITION,No plan review
10029,NEW,Plan Review
10030,ADD/ALT,Plan Review
10031,NEW,Plan Review
10032,DEMOLITION,No plan review
10033,NEW,Plan Review
10034,NEW,Plan Review
10035,ADD/ALT,Plan Review
10036,ADD/ALT,Plan Review
10037,ADD/ALT,Plan Review
10038,NEW,Plan Review
10039,ADD/ALT,Plan Review
10040,NEW,Plan Review
10041,NEW,Plan Review
10042,ADD/ALT,Plan Review
10043,ADD/ALT,Plan Review
10044,DEMOLITION,No plan review
10045,ADD/ALT,Plan Review
10046,ADD/ALT,Plan Review
10047,NEW,Plan Review
10048,ADD/ALT,Plan Review
10049,TREE/VEGETATION MAINT/RESTORE,No plan review
10050,TREE/VEGETATION MAINT/RESTORE,No plan review
10051,ADD/ALT,No plan review
10052,ADD/ALT,No plan review
10053,ADD/ALT,No plan review
10054,ADD/ALT,No plan review
10055,NEW,Plan Review
10056,NEW,Plan Review
10057,NEW,Plan Review
10058,NEW,Plan Review
10059,ADD/ALT,Plan Review
10060,ADD/ALT,Plan Review
